name	result	time_in_seconds	nationality	year
Chris Boardman	1	2974	Great Britain	1994
Andrea Chiurato	2	48	Italy	1994
Jan Ullrich	3	111	Germany	1994
Erik Breukink	4	123	Netherlands	1994
Abraham Olano	5	136	Spain	1994
Nico Emonds	6	139	Belgium	1994
Thierry Marie	7	152	France	1994
Henk Vogels	8	161	Australia	1994
Zenon Jasku?a	9	171	Poland	1994
Michael Rich	10	185	Germany	1994
Jan Karlsson	11	189	Sweden	1994
Melchor Mauri	12	198	Spain	1994
Alex Zulle	13	201	Switzerland	1994
Stephen Hodge	14	207	Australia	1994
Frantisek Trkal	15	212	Czech Republic	1994
Magnus Astroem	16	217	Sweden	1994
Scott Mercier	17	223	United States	1994
Nico Mattan	18	231	Belgium	1994
Serhiy Honchar	19	230	Ukraine	1994
Luca Colombo	20	242	Italy	1994
Evgeni Berzin	21	259	Russia	1994
Servais Knaven	22	272	Netherlands	1994
Henrik Jacobsen	23	274	Denmark	1994
Arturas Kasputis	24	276	Lithuania	1994
Pavel Padrnos	25	278	Czech Republic	1994
Eddy Seigneur	26	281	France	1994
Jan Bo Petersen	27	281	Denmark	1994
Ruben Antonio Pegorin	28	287	Argentina	1994
Ruslan Ivanov	29	303	Moldova	1994
Graeme Obree	30	320	Great Britain	1994
Roman Jeker	31	336	Switzerland	1994
Miroslav Liptak	32	341	Slovakia	1994
Julio Cesar Ortegon	33	342	Colombia	1994
Bernard Bocian	34	344	Poland	1994
Jacques Landry	35	346	Canada	1994
Philip Collins	36	350	Ireland	1994
Miika Hietanen	37	354	Finland	1994
Clay Moseley	38	355	United States	1994
Igor Patenko	39	366	Belarus	1994
Stig Kristiansen	40	372	Norway	1994
Sandi Papez	41	381	Slovenia	1994
Serguei Ljboldine	42	383	Russia	1994
Gorazd Stangelj	43	398	Slovenia	1994
Igor Bonciucov	44	400	Moldova	1994
Markus Pinggera	45	419	Austria	1994
Kari Myyrylainen	46	433	Finland	1994
Vladimir Duma	47	462	Ukraine	1994
Raul Alexander Montana	48	492	Colombia	1994
Gyorgy Imris	49	518	Hungary	1994
Dietmar Muller	50	527	Austria	1994
Atilla Szabo	51	659	Hungary	1994
Samir Kovacevic	52	670	Bosnia and Herzegovina	1994
Christian Kouyoumdijan	53	679	Lebanon	1994
Agim Tafili	54	755	Albania	1994
Agim Paja	55	780	Albania	1994
Refik Ramic	56	789	Bosnia and Herzegovina	1994
Abdelwahed Latrach	57	798	Morocco	1994
