name	result	time_in_seconds	nationality	year
Alessandro Ballan	1	23850	Italy	2008
Damiano Cunego	2	3	Italy	2008
Matti Breschel	3	3	Denmark	2008
Davide Rebellin	4	3	Italy	2008
Andrey Grivko	5	3	Ukraine	2008
Joaquim Rodriguez	6	3	Spain	2008
Fabian Wegmann	7	3	Germany	2008
Christian Pfannberger	8	3	Austria	2008
Nick Nuyens	9	3	Belgium	2008
Robert Gesink	10	3	Netherlands	2008
Jurgen Van Goolen	11	3	Belgium	2008
Thomas Lofkvist	12	3	Sweden	2008
Chris Anker Sørensen	13	6	Denmark	2008
Assan Bazayev	14	58	Kazakhstan	2008
Philippe Gilbert	15	58	Belgium	2008
Kristjan Fajt	16	61	Slovenia	2008
Greg Van Avermaet	17	61	Belgium	2008
Gorazd Stangelj	18	61	Slovenia	2008
Jerome Pineau	19	73	France	2008
Vladimir Karpets	20	73	Russia	2008
Sergio Miguel Paulinho	21	73	Portugal	2008
Samuel Sanchez	22	82	Spain	2008
Steven Cozza	23	100	United States	2008
Hrvoje Miholjevic	24	100	Croatia	2008
Rubens Bertogliati	25	134	Switzerland	2008
Amael Moinard	26	134	France	2008
Alexandre Bazhenov	27	204	Russia	2008
Paolo Bettini	28	293	Italy	2008
Erik Zabel	29	293	Germany	2008
Dmitriy Muravyev	30	293	Kazakhstan	2008
Matteo Tosatto	31	293	Italy	2008
Alexander Efimkin	32	293	Russia	2008
Michael Barry	33	293	Canada	2008
Thomas Rohregger	34	293	Austria	2008
Julian Dean	35	293	New Zealand	2008
Janek Tombak	36	293	Estonia	2008
Alejandro Valverde	37	293	Spain	2008
Tom Boonen	38	293	Belgium	2008
Oscar Freire	39	293	Spain	2008
Gustav Erik Larsson	40	293	Sweden	2008
Frank Schleck	41	293	Luxembourg	2008
Sergey Lagutin	42	293	Russia	2008
Karsten Kroon	43	293	Netherlands	2008
Alexandr Kolobnev	44	293	Russia	2008
Nuno Ribeiro	45	293	Portugal	2008
John Gadret	46	293	France	2008
Stefan Schumacher	47	293	Germany	2008
Janez Brajkovic	48	293	Slovenia	2008
Russell Downing	49	293	Great Britain	2008
Oliver Zaugg	50	293	Switzerland	2008
Roman Kreuziger	51	293	Czech Republic	2008
Nicolas Vogondy	52	293	France	2008
Sylvain Chavanel	53	293	France	2008
Mikhaylo Khalilov	54	293	Ukraine	2008
Matthew Lloyd	55	293	Australia	2008
Vladimir Gusev	56	293	Russia	2008
Lars Petter Nordhaug	57	320	Norway	2008
Jose Mendes	58	495	Portugal	2008
Aleksejs Saramotins	59	633	Latvia	2008
Felix Rafael Cardenas	60	633	Colombia	2008
Kjell Carlstrom	61	633	Finland	2008
Marcus Ljungqvist	62	633	Sweden	2008
Tyler Farrar	63	633	United States	2008
Borut Bozic	64	633	Slovenia	2008
Frank Høj	65	633	Denmark	2008
Maarten Tjallingii	66	633	Netherlands	2008
Roman Klimov	67	654	Russia	2008
Hubert Jacek Krys	68	654	Poland	2008
Peter Kusztor	69	654	Hungary	2008
Carlos Jose Ochoa	70	654	Venezuela	2008
Geoffroy Lequatre	71	654	France	2008
Leonardo Fabio Duque	72	654	France	2008
Jose Humberto Rujano	73	654	Venezuela	2008
Oleg Chuzhda	74	654	Ukraine	2008
Olegs Melehs	75	661	Latvia	2008
Lucas Euser	76	1369	United States	2008
Yukiya Arashiro	77	1370	Japan	2008
Matthew Goss	DNF	0	Australia	2008
Simon Gerrans	DNF	0	Australia	2008
William Walker	DNF	0	Australia	2008
Allan Davis	DNF	0	Australia	2008
Adam Hansen	DNF	0	Australia	2008
Michael Rogers	DNF	0	Australia	2008
Robbie McEwen	DNF	0	Australia	2008
Trent Lowe	DNF	0	Australia	2008
