name	result	time_in_seconds	nationality	year
Kristin Armstrong	1	2104	United States	2006
Karin Thurig	2	25	Switzerland	2006
Christine Thornburn	3	29	United States	2006
Priska Doppmann	4	55	Switzerland	2006
Nicole Cooke	5	55	Great Britain	2006
Zulfiya Zabirova	6	58	Kazakhstan	2006
Judith Arndt	7	64	Germany	2006
Lada Kozlikova	8	65	Czech Republic	2006
Trixi Worrack	9	78	Germany	2006
Amber Neben	10	86	United States	2006
Natalia Boyarskaya	11	95	Russia	2006
Tereza Hurikova	12	95	Czech Republic	2006
Nicole Brandli	13	101	Switzerland	2006
Linda Villumsen	14	107	New Zealand	2006
Susanne Ljungskog	15	112	Sweden	2006
Christiane Soeder	16	115	Austria	2006
Svetlana Stolbova	17	125	Russia	2006
Edwige Pitel	18	129	France	2006
Jeannie Longo	19	138	France	2006
Anne Samplonius	20	141	Canada	2006
Loes Gunnewijk	21	145	Netherlands	2006
Tatiana Guderzo	22	155	Italy	2006
Edita Pucinskaite	23	162	Lithuania	2006
Meifang Li	24	164	China	2006
Maria Isabel Moreno	25	169	Spain	2006
An Van Rie	26	175	Belgium	2006
Oenone Wood	27	181	Australia	2006
Kathryn Watt	28	195	Australia	2006
Eneritz Iturriaga	29	200	Spain	2006
Trine Hansen	30	201	Denmark	2006
Silvia Valsecchi	31	212	Italy	2006
Paulina Brzezna	32	237	Poland	2006
Blaza Pintaric	33	244	Slovenia	2006
Barbel Jungmeier	34	264	Austria	2006
Urte Juodvalkyte	35	271	Lithuania	2006
Iryna Shpylova	36	305	Ukraine	2006
Magdalena Zamolska	37	364	Poland	2006
