name	result	time_in_seconds	nationality	year
Anna van der Breggen	1	15064	Netherlands	2018
Amanda Spratt	2	222	Australia	2018
Tatiana Guderzo	3	326	Italy	2018
Emilia Fahlin	4	373	Sweden	2018
Ma?gorzata Jasinska	5	373	Poland	2018
Karol-Ann Canuel	6	377	Canada	2018
Annemiek van Vleuten	7	425	Netherlands	2018
Amy Pieters	8	425	Netherlands	2018
Lucinda Brand	9	437	Netherlands	2018
Ruth Winder	10	437	United States	2018
Rasa Leleivyte	11	437	Lithuania	2018
Katarzyna Niewiadoma	12	437	Poland	2018
Elisa Longo Borghini	13	437	Italy	2018
Sara Poidevin	14	437	Canada	2018
Anastasiia Chursina	15	437	Russia	2018
Megan Guarnier	16	437	United States	2018
Ashleigh Moolman	17	437	South Africa	2018
Clara Koppenburg	18	437	Germany	2018
Mavi Garcia	19	437	Spain	2018
Erica Magnaldi	20	437	Italy	2018
Katie Hall	21	437	United States	2018
Jolanda Neff	22	437	Switzerland	2018
Cecilie Uttrup Ludwig	23	442	Denmark	2018
Lucy Kennedy	24	451	Australia	2018
Leah Kirchmann	25	498	Canada	2018
Danielle Rowe	26	498	Great Britain	2018
Arlenis Sierra	27	498	Cuba	2018
Sofie De Vuyst	28	498	Belgium	2018
Stine Borgli	29	498	Norway	2018
Polona Batagelj	30	498	Slovenia	2018
Coryn Labecki	31	498	United States	2018
Hanna Nilsson	32	498	Sweden	2018
Urska Pintar	33	498	Slovenia	2018
Eider Merino	34	498	Spain	2018
Shara Marche	35	498	Australia	2018
Sina Frei	36	498	Switzerland	2018
Annika Langvad	37	498	Denmark	2018
Edwige Pitel	38	498	France	2018
Ievgeniia Vysotska	39	498	Ukraine	2018
Julie Van de Velde	40	498	Belgium	2018
Sophie Wright	41	516	Great Britain	2018
Kelly Van Den Steen	42	540	Belgium	2018
Ingrid Lorvik	43	540	Norway	2018
Chantal van den Broek-Blaak	44	540	Netherlands	2018
Hannah Barnes	45	658	Great Britain	2018
Liane Lippert	46	658	Germany	2018
Georgia Williams	47	661	New Zealand	2018
Grace Brown	48	661	Australia	2018
Omer Shapira	49	674	Israel	2018
Githa Michiels	50	752	Belgium	2018
Alison Jackson	51	768	Canada	2018
Blanca Liliana Moreno	52	781	Colombia	2018
Ane Santesteban	53	781	Spain	2018
Brodie Chapman	54	781	Australia	2018
Maria Novolodskaia	55	790	Russia	2018
Olga Shekel	56	826	Ukraine	2018
Lorena Llamas	57	845	Spain	2018
Elena Pirrone	58	845	Italy	2018
Angelika Tazreiter	59	866	Austria	2018
Ellen van Dijk	60	869	Netherlands	2018
Juliette Labous	61	869	France	2018
Fernanda Yapura	62	869	Argentina	2018
Sofia Bertizzolo	63	869	Italy	2018
Dani Christmas	64	891	Great Britain	2018
Spela Kern	65	891	Slovenia	2018
Grace Anderson	66	891	New Zealand	2018
Urska Zigart	67	895	Slovenia	2018
Anna Plichta	68	965	Poland	2018
Janneke Ensing	69	965	Netherlands	2018
Diana Klimova	70	1084	Russia	2018
Amalie Dideriksen	71	1084	Denmark	2018
Soraya Paladin	72	1084	Italy	2018
Audrey Cordon-Ragot	73	1084	France	2018
Sara Bergen	74	1100	Canada	2018
Stephanie Subercaseaux	75	1124	Chile	2018
Paula Andrea Patino	76	1124	Colombia	2018
Natalya Saifutdinova	77	1124	Kazakhstan	2018
Caroline Bohe	78	1124	Denmark	2018
Eri Yonamine	79	1247	Japan	2018
Jeanne Korevaar	80	1353	Netherlands	2018
Sarah Rijkes	81	1386	Austria	2018
Yixian Pu	DNF	0	China	2018
Tiffany Cromwell	DNF	0	Australia	2018
Sarah Roy	DNF	0	Australia	2018
Ana Sanabria	DNF	0	Colombia	2018
Susanne Andersen	DNF	0	Norway	2018
Katrine Aalerud	DNF	0	Norway	2018
Vita Heine	DNF	0	Norway	2018
Viivi Puskala	DNF	0	Finland	2018
Lotta Henttala	DNF	0	Finland	2018
Pernille Mathiesen	DNF	0	Denmark	2018
Emma Norsgaard	DNF	0	Denmark	2018
Katherine Maine	DNF	0	Canada	2018
Christa Riffel	DNF	0	Germany	2018
Trixi Worrack	DNF	0	Germany	2018
Lisa Brennauer	DNF	0	Germany	2018
Charlotte Becker	DNF	0	Germany	2018
Kathrin Hammes	DNF	0	Germany	2018
Sara Penton	DNF	0	Sweden	2018
Faina Potapova	DNF	0	Kazakhstan	2018
Amiliya Iskakova	DNF	0	Kazakhstan	2018
Anna Henderson	DNF	0	Great Britain	2018
Alice Cobb	DNF	0	Great Britain	2018
Tayler Wiles	DNF	0	United States	2018
Leah Thomas	DNF	0	United States	2018
Alexis Ryan	DNF	0	United States	2018
Tetyana Riabchenko	DNF	0	Ukraine	2018
Nicole Hanselmann	DNF	0	Switzerland	2018
Mossana Debesay	DNF	0	Eritrea	2018
Elne Owen	DNF	0	South Africa	2018
Eyeru Tesfoam Gebru	DNF	0	Ethiopia	2018
Mikayla Harvey	DNF	0	New Zealand	2018
Hiromi Kaneko	DNF	0	Japan	2018
Miyoko Karami	DNF	0	Japan	2018
Clemilda Fernandes	DNF	0	Brazil	2018
Camila Coelho Ferreira	DNF	0	Brazil	2018
Aurela Nerlo	DNF	0	Poland	2018
Marta Lach	DNF	0	Poland	2018
Katarzyna Wilkos	DNF	0	Poland	2018
Tereza Korvasova	DNF	0	Czech Republic	2018
Maja Perinovic	DNF	0	Croatia	2018
Ana Maria Covrig	DNF	0	Romania	2018
Jelena Eric	DNF	0	Serbia	2018
Alice Sharpe	DNF	0	Ireland	2018
Varvara Fasoi	DNF	0	Greece	2018
Rudina Baku	DNF	0	Albania	2018
Thi That Nguyen	DNF	0	Vietnam	2018
Rotem Gafinovitz	DNF	0	Israel	2018
Antri Christoforou	DNF	0	Cyprus	2018
Cristina Martinez	DNF	0	Spain	2018
Alicia Gonzalez	DNF	0	Spain	2018
Elena Cecchini	DNF	0	Italy	2018
Eugenie Duval	DNF	0	France	2018
Anabelle Dreville	DNF	0	France	2018
Aude Biannic	DNF	0	France	2018
Jeidi Pradera	DNF	0	Cuba	2018
Anna Potokina	DNF	0	Russia	2018
Kseniya Dobrynina	DNF	0	Russia	2018
Kaat Hannes	DNF	0	Belgium	2018
Valerie Demey	DNF	0	Belgium	2018
Ann-sofie Harsch	DNF	0	Luxembourg	2018
Claire Faber	DNF	0	Luxembourg	2018
Tatiana Jasekova	DNF	0	Slovakia	2018
Tereza Medvedova	DNF	0	Slovakia	2018
Hoi Wah Leung	DNF	0	Hongkong	2018
Wing Yee Leung	DNF	0	Hongkong	2018
Teniel Campbell	DNF	0	Trinidad & Tobago	2018
Monika Kiraly	DNF	0	Hungary	2018
Martina Ritter	DNF	0	Austria	2018
