name	result	time_in_seconds	nationality	year
Rohan Dennis	1	3782	Australia	2018
Tom Dumoulin	2	81	Netherlands	2018
Victor Campenaerts	3	81	Belgium	2018
Micha? Kwiatkowski	4	124	Poland	2018
Nelson Oliveira	5	134	Portugal	2018
Jonathan Castroviejo	6	137	Spain	2018
Tony Martin	7	145	Germany	2018
Patrick Bevin	8	154	New Zealand	2018
Vasil Kiryienka	9	187	Belarus	2018
Martin Toft Madsen	10	203	Denmark	2018
Maximilian Schachmann	11	219	Germany	2018
Stefan Kung	12	224	Switzerland	2018
Alexey Lutsenko	13	247	Kazakhstan	2018
Jan Barta	14	248	Czech Republic	2018
Joey Rosskopf	15	260	United States	2018
Wilco Kelderman	16	261	Netherlands	2018
Maciej Bodnar	17	262	Poland	2018
Søren Kragh Andersen	18	268	Denmark	2018
Jos van Emden	19	273	Netherlands	2018
Benjamin Thomas	20	284	France	2018
Tanel Kangert	21	285	Estonia	2018
Marc Soler	22	287	Spain	2018
Bob Jungels	23	287	Luxembourg	2018
Josef Cerny	24	289	Czech Republic	2018
Hamish Bond	25	290	New Zealand	2018
Matthias Brandle	26	291	Austria	2018
Tejay van Garderen	27	293	United States	2018
Alessandro De Marchi	28	305	Italy	2018
Alex Dowsett	29	324	Great Britain	2018
Fabio Felline	30	325	Italy	2018
Jan Tratnik	31	338	Slovenia	2018
Hugo Houle	32	339	Canada	2018
Pavel Sivakov	33	349	France	2018
Yoann Paillot	34	357	France	2018
Tao Geoghegan Hart	35	363	Great Britain	2018
Georg Preidler	36	372	Austria	2018
Rodrigo Contreras	37	380	Colombia	2018
Andrey Grivko	38	382	Ukraine	2018
Tsgabu Grmay	39	383	Ethiopia	2018
Kristoffer Skjerping	40	384	Norway	2018
Domingos Goncalves	41	389	Portugal	2018
Anton Vorobyev	42	394	Russia	2018
Ignatas Konovalovas	43	407	Lithuania	2018
Toms Skujins	44	407	Latvia	2018
Eduardo Sepulveda	45	409	Argentina	2018
Nicolas Roche	46	423	Ireland	2018
Silvan Dillier	47	423	Switzerland	2018
Tobias Ludvigsson	48	425	Sweden	2018
Ryan Mullen	49	437	Ireland	2018
Laurens De Plus	50	494	Belgium	2018
Gediminas Bagdonas	51	496	Lithuania	2018
Marek Canecky	52	650	Slovakia	2018
Ahmad Badreddin Wais	53	930	Syria	2018
Dealton Nur Arif Prayogo	54	1053	Indonesia	2018
Ho San Chiu	55	1085	Hongkong	2018
Darel Christopher	56	1721	Virgin Islands	2018
Mekseb Debesay	DNS	0	Eritrea	2018
Daniel Teklehaimanot	DNS	0	Eritrea	2018
Eugert Zhupa	DNS	0	Albania	2018
Muhammad Arsalan Anjum	DNS	0	Pakistan	2018
Najeeb Ullah	DNS	0	Pakistan	2018
