name	result	time_in_seconds	nationality	year
Annemiek van Vleuten	1	2065	Netherlands	2018
Anna van der Breggen	2	30	Netherlands	2018
Ellen van Dijk	3	85	Netherlands	2018
Leah Kirchmann	4	87	Canada	2018
Leah Thomas	5	93	United States	2018
Lucinda Brand	6	103	Netherlands	2018
Amber Neben	7	108	United States	2018
Karol-Ann Canuel	8	137	Canada	2018
Elisa Longo Borghini	9	137	Italy	2018
Tayler Wiles	10	151	United States	2018
Georgia Williams	11	154	New Zealand	2018
Pernille Mathiesen	12	156	Denmark	2018
Juliette Labous	13	160	France	2018
Lisa Brennauer	14	170	Germany	2018
Trixi Worrack	15	182	Germany	2018
Emilia Fahlin	16	190	Sweden	2018
Marlen Reusser	17	192	Switzerland	2018
Cecilie Uttrup Ludwig	18	197	Denmark	2018
Audrey Cordon-Ragot	19	198	France	2018
Alena Amialiusik	20	201	Belarus	2018
Elena Pirrone	21	212	Italy	2018
Alice Barnes	22	222	Great Britain	2018
Hayley Simmonds	23	228	Great Britain	2018
Vita Heine	24	228	Norway	2018
Martina Ritter	25	231	Austria	2018
Lotta Henttala	26	236	Finland	2018
Omer Shapira	27	239	Israel	2018
Ann-Sophie Duyck	28	240	Belgium	2018
Eri Yonamine	29	240	Japan	2018
Mavi Garcia	30	249	Spain	2018
Olga Shekel	31	249	Ukraine	2018
Anastasiia Chursina	32	251	Russia	2018
Kelly Murphy	33	259	Ireland	2018
Fernanda Yapura	34	262	Argentina	2018
Antri Christoforou	35	271	Cyprus	2018
Valeriya Kononenko	36	275	Ukraine	2018
Barbara Mayer	37	282	Austria	2018
Tereza Korvasova	38	302	Czech Republic	2018
Mia Radotic	39	304	Croatia	2018
Rotem Gafinovitz	40	310	Israel	2018
Eileen Burns	41	311	Ireland	2018
Maria Novolodskaia	42	327	Russia	2018
Natalya Saifutdinova	43	348	Kazakhstan	2018
Varvara Fasoi	44	369	Greece	2018
Faina Potapova	45	390	Kazakhstan	2018
Eyeru Tesfoam Gebru	46	394	Ethiopia	2018
Agua Marina Espinola	47	407	Paraguay	2018
Tatiana Jasekova	48	410	Slovakia	2018
Teniel Campbell	49	439	Trinidad & Tobago	2018
Mossana Debesay	50	452	Eritrea	2018
Yixian Pu	51	457	China	2018
Mikayla Harvey	DNF	0	New Zealand	2018
