name	result	time_in_seconds	nationality	year
Maurizio Fondriest	1	25331	Italy	1988
Martial Gayant	2	27	France	1988
Juan Fernandez	3	41	Spain	1988
Hartmut Bolts	4	41	Germany	1988
Mauro Gianetti	5	41	Switzerland	1988
Ronan Pensec	6	41	France	1988
Davide Cassani	7	41	Italy	1988
NULL	8	41	NULL	1988
NULL	9	46	NULL	1988
Allan Peiper	10	55	Australia	1988
NULL	11	60	NULL	1988
Thomas Wegmuller	12	72	Switzerland	1988
Eddy Planckaert	13	108	Belgium	1988
Stefano Colage	14	108	Italy	1988
Manuel Jorge Dominguez	15	108	Spain	1988
Ron Kiefel	16	108	United States	1988
Rolf Sørensen	17	108	Denmark	1988
Acacio da Silva	18	108	Portugal	1988
Gert-Jan Theunisse	19	108	Netherlands	1988
Jean-Philippe Vandenbrande	20	108	Belgium	1988
Jan Nevens	21	108	Belgium	1988
Moreno Argentin	22	108	Italy	1988
Enrique Alberto Aja	23	108	Spain	1988
Lars Wahlqvist	24	108	Sweden	1988
Sean Kelly	25	108	Ireland	1988
Eric Caritoux	26	108	France	1988
Brian Holm Sørensen	27	108	Denmark	1988
Fabian Fuchs	28	108	Switzerland	1988
Marc Sergeant	29	108	Belgium	1988
Jean-Claude Colotti	30	108	France	1988
Marc Gomez	31	108	France	1988
Jerome Simon	32	108	France	1988
Phil Anderson	33	108	Australia	1988
Johnny Weltz	34	108	Denmark	1988
Alvaro Pino	35	108	Spain	1988
Atle Kvalsvoll	36	108	Norway	1988
Dag-Otto Lauritzen	37	108	Norway	1988
Michel Dernies	38	108	Belgium	1988
Czes?aw Lang	39	108	Poland	1988
Peter Winnen	40	108	Netherlands	1988
Jorg Muller	41	108	Switzerland	1988
Peter De Clercq	42	108	Belgium	1988
Helmut Wechselberger	43	108	Austria	1988
Søren Lilholt	44	108	Denmark	1988
Massimo Ghirotto	45	108	Italy	1988
Erich Machler	46	108	Switzerland	1988
Olaf Lurvik	47	108	Norway	1988
Robert Millar	48	108	Great Britain	1988
Adrie van der Poel	49	108	Netherlands	1988
NULL	50	108	NULL	1988
Gilbert Duclos-Lassalle	51	108	France	1988
Gianni Bugno	52	108	Italy	1988
Sean Yates	53	108	Great Britain	1988
Marc Madiot	54	108	France	1988
Laudelino Cubino	55	108	Spain	1988
Marino Amadori	56	108	Italy	1988
NULL	57	108	NULL	1988
Peter Stevenhaagen	58	108	Netherlands	1988
