name	result	time_in_seconds	nationality	year
Linda Villumsen	1	2429	New Zealand	2015
Anna van der Breggen	2	2	Netherlands	2015
Lisa Brennauer	3	5	Germany	2015
Katrin Garfoot	4	9	Australia	2015
Kristin Armstrong	5	20	United States	2015
Evelyn Stevens	6	26	United States	2015
Ellen van Dijk	7	53	Netherlands	2015
Alena Amialiusik	8	66	Belarus	2015
Ann-Sophie Duyck	9	79	Belgium	2015
Trixi Worrack	10	79	Germany	2015
Tatiana Antoshina	11	81	Russia	2015
Martina Sablikova	12	81	Czech Republic	2015
Tara Whitten	13	86	Canada	2015
Carmen Small	14	87	United States	2015
Karol-Ann Canuel	15	92	Canada	2015
Ganna Solovei	16	98	Ukraine	2015
Emma Johansson	17	108	Sweden	2015
Eri Yonamine	18	130	Japan	2015
Mieke Kroger	19	140	Germany	2015
Katarzyna Pawlowska	20	143	Poland	2015
Christine Majerus	21	146	Luxembourg	2015
Eugenia Bujak	22	149	Slovenia	2015
Audrey Cordon-Ragot	23	159	France	2015
Doris Schweizer	24	162	Switzerland	2015
Cecilie Gotaas Johnsen	25	167	Norway	2015
Hayley Simmonds	26	174	Great Britain	2015
Aude Biannic	27	191	France	2015
Siobhan Dervan	28	196	Ireland	2015
Martina Ritter	29	213	Austria	2015
Silvia Valsecchi	30	214	Italy	2015
Svetlana Kuznetsova	31	229	Russia	2015
Lotta Henttala	32	234	Finland	2015
Corinna Lechner	33	236	Germany	2015
Kathryn Bertine	34	247	Saint Kitts en Nevis	2015
Evelyn Garcia	35	249	El Salvador	2015
Daiva Ragazinskiene	36	251	Lithuania	2015
Lija Laizane	37	252	Latvia	2015
Enkhjargal Tuvshinjargal	38	255	Mongolia	2015
Olga Shekel	39	256	Ukraine	2015
Sheyla Gutierrez	40	280	Spain	2015
Camilla Møllebro	41	289	Denmark	2015
Ingrid Drexel	42	324	Mexico	2015
Serika Guluma	43	352	Colombia	2015
Jeanne d'Arc Girubuntu	44	431	Rwanda	2015
