name	result	time_in_seconds	nationality	year
Jeannie Longo	1	2667	France	1995
Clara Hughes	2	71	Canada	1995
Kathryn Watt	3	85	Australia	1995
Valentina Polkhanova	4	155	Russia	1995
Karen Kurreck	5	170	United States	1995
Jeanne Golay	6	195	United States	1995
Catherine Marsal	7	205	France	1995
Zulfiya Zabirova	8	206	Kazakhstan	1995
Maritza Corredor	9	282	Colombia	1995
Tea Vikstedt-Nyman	10	316	Finland	1995
Jolanta Polikeviciute	11	323	Lithuania	1995
Rebecca Bailey	12	339	New Zealand	1995
Yvonne McGregor	13	339	Great Britain	1995
Maria Jongeling	14	341	Netherlands	1995
Dede Demet-Barry	15	349	United States	1995
Judith Arndt	16	356	Germany	1995
Rasa Polikeviciute	17	394	Lithuania	1995
Petra Rossner	18	394	Germany	1995
Susanne Ljungskog	19	402	Sweden	1995
Imelda Chiappa	20	404	Italy	1995
Anne Samplonius	21	411	Canada	1995
Dori Ruano	22	455	Spain	1995
Valentina Karpenko	23	456	Ukraine	1995
Jacqueline Nelson	24	470	New Zealand	1995
Belem Guerrero	25	494	Mexico	1995
Tracey Gaudry	26	505	Australia	1995
NULL	27	514	NULL	1995
Maureen Kaila	28	524	El Salvador	1995
Qing Zhi Wang	29	526	China	1995
Lenka Ilavska	30	539	Slovakia	1995
Meike de Bruijn	31	548	Netherlands	1995
Nuria Florencio Cabre	32	562	Spain	1995
Oksana Goldberg	33	566	Kazakhstan	1995
Elena Malikova	34	571	Czech Republic	1995
Huizhen Ma	35	579	China	1995
Elena Tchalykh	36	588	Azerbaijan	1995
Consuelo Giraldo	37	617	Colombia	1995
Patricia Santiago	38	726	Argentina	1995
Alla Vasilenko	39	795	Kazakhstan	1995
