name	result	time_in_seconds	nationality	year
Annemiek van Vleuten	1	1730	Netherlands	2017
Anna van der Breggen	2	12	Netherlands	2017
Katrin Garfoot	3	19	Australia	2017
Chloe Dygert	4	38	United States	2017
Ellen van Dijk	5	52	Netherlands	2017
Linda Villumsen	6	56	New Zealand	2017
Ashleigh Moolman	7	78	South Africa	2017
Lauren Stephens	8	80	United States	2017
Hannah Barnes	9	83	Great Britain	2017
Cecilie Uttrup Ludwig	10	94	Denmark	2017
Amber Neben	11	102	United States	2017
Lisa Brennauer	12	108	Germany	2017
Audrey Cordon-Ragot	13	110	France	2017
Pernille Mathiesen	14	122	Denmark	2017
Juliette Labous	15	122	France	2017
Ann-Sophie Duyck	16	123	Belgium	2017
Trixi Worrack	17	123	Germany	2017
Elisa Longo Borghini	18	127	Italy	2017
Elinor Barker	19	130	Great Britain	2017
Lotta Henttala	20	134	Finland	2017
Karol-Ann Canuel	21	139	Canada	2017
Eri Yonamine	22	149	Japan	2017
Olga Zabelinskaya	23	151	Uzbekistan	2017
Lisa Morzenti	24	151	Italy	2017
Tayler Wiles	25	166	United States	2017
Ramona Forchini	26	167	Switzerland	2017
Ana Sanabria	27	171	Colombia	2017
Antri Christoforou	28	172	Cyprus	2017
Marlen Reusser	29	179	Switzerland	2017
Martina Ritter	30	182	Austria	2017
Vita Heine	31	185	Norway	2017
Olena Pavlukhina	32	189	Azerbaijan	2017
Olga Shekel	32	209	Ukraine	2017
Rotem Gafinovitz	33	210	Israel	2017
Sari Saarelainen	34	224	Finland	2017
Aurela Nerlo	35	231	Poland	2017
Kseniia Tsymbaliuk	36	234	Russia	2017
Omer Shapira	37	237	Israel	2017
Thea Thorsen	38	241	Norway	2017
Eileen Burns	39	252	Ireland	2017
Daiva Ragazinskiene	40	259	Lithuania	2017
Lourdes Oyarbide	41	261	Spain	2017
Varvara Fasoi	42	268	Greece	2017
Yumi Kajihara	43	292	Japan	2017
Aurelie Halbwachs	44	301	Mauritius	2017
Brenda Andrea Santoyo	45	310	Mexico	2017
Eyeru Tesfoam Gebru	46	310	Ethiopia	2017
Yao Pang	47	317	Hongkong	2017
Eleni Michali Tsavari	48	318	Greece	2017
Aranza Valentina Villalon	49	331	Chile	2017
Qianyu Yang	50	341	Hongkong	2017
Selam Amha	51	393	Ethiopia	2017
Justina Jovaisyte	52	403	Lithuania	2017
Jer Ling Lee	53	446	Singapore	2017
