name	result	time_in_seconds	nationality	year
Alejandro Valverde	1	24401	Spain	2018
Romain Bardet	2	0	France	2018
Michael Woods	3	0	Canada	2018
Tom Dumoulin	4	0	Netherlands	2018
Gianni Moscon	5	13	Italy	2018
Roman Kreuziger	6	43	Czech Republic	2018
Michael Valgren	7	43	Denmark	2018
Julian Alaphilippe	8	43	France	2018
Thibaut Pinot	9	43	France	2018
Rui Costa	10	43	Portugal	2018
Ion Izagirre	11	43	Spain	2018
Bauke Mollema	12	49	Netherlands	2018
Mikel Nieve	13	52	Spain	2018
Sam Oomen	14	81	Netherlands	2018
Nairo Quintana	15	81	Colombia	2018
Peter Kennaugh	16	81	Great Britain	2018
Jan Hirt	17	81	Czech Republic	2018
George Bennett	18	81	New Zealand	2018
Jack Haig	19	81	Australia	2018
Jakob Fuglsang	20	81	Denmark	2018
Domenico Pozzovivo	21	81	Italy	2018
Andrey Zeits	22	81	Kazakhstan	2018
Ben Hermans	23	92	Belgium	2018
Simon Geschke	24	114	Germany	2018
Sergei Chernetski	25	120	Russia	2018
Mathias Frank	26	130	Switzerland	2018
Steven Kruijswijk	27	130	Netherlands	2018
Antwan Tolhoek	28	130	Netherlands	2018
Dylan Teuns	29	130	Belgium	2018
Odd Christian Eiking	30	162	Norway	2018
Rudy Molard	31	162	France	2018
Sebastien Reichenbach	32	162	Switzerland	2018
Rigoberto Uran	33	177	Colombia	2018
Primoz Roglic	34	240	Slovenia	2018
Rafa? Majka	35	240	Poland	2018
Alexey Lutsenko	36	240	Kazakhstan	2018
Adam Yates	37	240	Great Britain	2018
Wilco Kelderman	38	240	Netherlands	2018
Nelson Oliveira	39	300	Portugal	2018
Alessandro De Marchi	40	305	Italy	2018
Merhawi Kudus	41	344	Eritrea	2018
Xandro Meurisse	42	344	Belgium	2018
Vegard Stake Laengen	43	344	Norway	2018
David de la Cruz	44	356	Spain	2018
Michael Gogl	45	356	Austria	2018
Emanuel Buchmann	46	356	Germany	2018
Pavel Sivakov	47	360	France	2018
Sergio Henao	48	362	Colombia	2018
Vincenzo Nibali	49	362	Italy	2018
Greg Van Avermaet	50	488	Belgium	2018
Pavel Kochetkov	51	488	Russia	2018
Kasper Asgreen	52	622	Denmark	2018
Franco Pellizotti	53	633	Italy	2018
Carl Fredrik Hagen	54	744	Norway	2018
Emil Mielke Vinjebo	55	777	Denmark	2018
?ukasz Owsian	56	785	Poland	2018
Ilnur Zakarin	57	785	Russia	2018
Tony Gallopin	58	785	France	2018
Patrick Konrad	59	785	Austria	2018
Steve Morabito	60	785	Switzerland	2018
Jesus Herrada	61	789	Spain	2018
Toms Skujins	62	793	Latvia	2018
Brent Bookwalter	63	863	United States	2018
Damiano Caruso	64	863	Italy	2018
Dario Cataldo	65	863	Italy	2018
Hugh Carthy	66	863	Great Britain	2018
Nicolas Roche	67	863	Ireland	2018
Tim Wellens	68	863	Belgium	2018
Pieter Weening	69	863	Netherlands	2018
Robert Power	70	863	Australia	2018
Richard Carapaz	71	888	Ecuador	2018
Ben King	72	957	United States	2018
Eduardo Sepulveda	73	1011	Argentina	2018
Nico Denz	74	1097	Germany	2018
Gianluca Brambilla	75	1175	Italy	2018
Rob Britton	76	1177	Canada	2018
Damien Howson	DNF	0	Australia	2018
Simon Clarke	DNF	0	Australia	2018
Rohan Dennis	DNF	0	Australia	2018
Nick Schultz	DNF	0	Australia	2018
Rory Sutherland	DNF	0	Australia	2018
Chris Hamilton	DNF	0	Australia	2018
Daniel Felipe Martinez	DNF	0	Colombia	2018
Rodrigo Contreras	DNF	0	Colombia	2018
Winner Anacona	DNF	0	Colombia	2018
Sebastian Henao	DNF	0	Colombia	2018
Miguel Angel Lopez	DNF	0	Colombia	2018
Markus Hoelgaard	DNF	0	Norway	2018
Sven Erik Bystrøm	DNF	0	Norway	2018
