name	result	time_in_seconds	nationality	year
Chloe Dygert	1	2532	United States	2019
Anna van der Breggen	2	92	Netherlands	2019
Annemiek van Vleuten	3	112	Netherlands	2019
Amber Neben	4	158	United States	2019
Lisa Klein	5	160	Germany	2019
Marlen Reusser	6	182	Switzerland	2019
Leah Thomas	7	192	United States	2019
Lucinda Brand	8	195	Netherlands	2019
Alena Amialiusik	9	197	Belarus	2019
Lisa Brennauer	10	199	Germany	2019
Amanda Spratt	11	237	Australia	2019
Karol-Ann Canuel	12	263	Canada	2019
Omer Shapira	13	269	Israel	2019
Lisa Norden	14	271	Sweden	2019
Juliette Labous	15	272	France	2019
Alice Barnes	16	272	Great Britain	2019
Elisa Longo Borghini	17	275	Italy	2019
Pernille Mathiesen	18	276	Denmark	2019
Anastasiia Chursina	19	277	Russia	2019
Anna Kiesenhofer	20	279	Austria	2019
Vita Heine	21	297	Norway	2019
Elise Chabbey	22	309	Switzerland	2019
Louise Norman Hansen	23	315	Denmark	2019
Kelly Murphy	24	332	Ireland	2019
Tatsiana Sharakova	25	333	Belarus	2019
Hayley Simmonds	26	335	Great Britain	2019
Olga Zabelinskaya	27	342	Uzbekistan	2019
Olga Shekel	28	352	Ukraine	2019
Eri Yonamine	29	354	Japan	2019
Audrey Cordon-Ragot	30	356	France	2019
Katrine Aalerud	31	360	Norway	2019
Ashleigh Moolman	32	375	South Africa	2019
Julie Van de Velde	33	382	Belgium	2019
Anna Turvey	34	382	Ireland	2019
Vittoria Bussi	35	388	Italy	2019
Anna Plichta	36	393	Poland	2019
Rotem Gafinovitz	37	412	Israel	2019
Teniel Campbell	38	437	Trinidad & Tobago	2019
Gloria Rodriguez	39	438	Spain	2019
Tiffany Keep	40	438	South Africa	2019
Lourdes Oyarbide	41	472	Spain	2019
Gillian Ellsay	42	479	Canada	2019
Andrea Ramirez	43	513	Mexico	2019
Maria Novolodskaia	44	518	Russia	2019
NULL	45	518	NULL	2019
Valeriya Kononenko	46	535	Ukraine	2019
Agua Marina Espinola	47	549	Paraguay	2019
Fernanda Yapura	48	551	Argentina	2019
Agusta Edda Bjornsdottir	49	579	Iceland	2019
Ting Ting Chang	50	611	Taiwan	2019
Ana Paula Polegatch	51	629	Brazil	2019
Latefa Alyaseen	52	1177	Kuwait	2019
Noura Alomairi	53	1229	Kuwait	2019
