name	result	time_in_seconds	nationality	year
Annemiek van Vleuten	1	15865	Netherlands	2022
Lotte Kopecky	2	1	Belgium	2022
Silvia Persico	3	1	Italy	2022
Liane Lippert	4	1	Germany	2022
Cecilie Uttrup Ludwig	5	1	Denmark	2022
Arlenis Sierra	6	1	Cuba	2022
Juliette Labous	7	1	France	2022
Katarzyna Niewiadoma	8	1	Poland	2022
Elise Chabbey	9	1	Switzerland	2022
Elisa Longo Borghini	10	1	Italy	2022
Ashleigh Moolman	11	1	South Africa	2022
Niamh Fisher-Black	12	1	New Zealand	2022
Marlen Reusser	13	11	Switzerland	2022
Marianne Vos	14	13	Netherlands	2022
Alexandra Manly	15	13	Australia	2022
Pfeiffer Georgi	16	13	Great Britain	2022
Sofia Bertizzolo	17	13	Italy	2022
Alison Jackson	18	13	Canada	2022
Justine Ghekiere	19	13	Belgium	2022
Ricarda Bauernfeind	20	13	Germany	2022
Brodie Chapman	21	13	Australia	2022
Simone Boilard	22	13	Canada	2022
Veronica Ewers	23	13	United States	2022
Ellen van Dijk	24	13	Netherlands	2022
Mavi Garcia	25	13	Spain	2022
Anna Shackley	26	13	Great Britain	2022
Amanda Spratt	27	85	Australia	2022
Paula Andrea Patino	28	290	Colombia	2022
Eri Yonamine	29	290	Japan	2022
Ane Santesteban	30	290	Spain	2022
Silvia Zanardi	31	297	Italy	2022
Noemi Ruegg	32	297	Switzerland	2022
Carina Schrempf	33	297	Austria	2022
Julie De Wilde	34	297	Belgium	2022
Grace Brown	35	297	Australia	2022
Floortje Mackaij	36	297	Netherlands	2022
Olivia Baril	37	297	Canada	2022
Leah Thomas	38	297	United States	2022
Mari Hole Mohr	39	297	Norway	2022
Ella Wyllie	40	297	New Zealand	2022
Evita Muzic	41	297	France	2022
Urska Pintar	42	297	Slovenia	2022
Julie Van de Velde	43	301	Belgium	2022
Olga Zabelinskaya	44	457	Uzbekistan	2022
Dominika Wlodarczyk	45	457	Poland	2022
Leah Kirchmann	46	457	Canada	2022
Riejanne Markus	47	459	Netherlands	2022
Elena Cecchini	48	459	Italy	2022
Elisa Balsamo	49	459	Italy	2022
Anna Henderson	50	459	Great Britain	2022
Shirin van Anrooij	51	459	Netherlands	2022
Jelena Eric	52	459	Serbia	2022
Marie Le Net	53	459	France	2022
Omer Shapira	54	570	Israel	2022
Anne Dorthe Ysland	55	572	Norway	2022
Eugenia Bujak	56	572	Slovenia	2022
Romy Kasper	57	572	Germany	2022
Sarah Roy	58	594	Australia	2022
Rasa Leleivyte	59	598	Lithuania	2022
Marta Jaskulska	60	727	Poland	2022
Kristen Faulkner	61	727	United States	2022
Julia Borgstrom	62	727	Sweden	2022
Elena Hartmann	63	743	Switzerland	2022
Agnieszka Skalniak-Sojka	64	762	Poland	2022
Spela Kern	65	762	Slovenia	2022
Lina Marcela Hernandez	66	762	Colombia	2022
Ingvild Gaskjenn	67	762	Norway	2022
Coralie Demay	68	762	France	2022
Diana Penuela	69	762	Colombia	2022
Elizabeth Holden	70	762	Great Britain	2022
Marta Bastianelli	71	762	Italy	2022
Franziska Koch	72	951	Germany	2022
Nina Berton	73	951	Luxembourg	2022
Hayley Preen	74	951	South Africa	2022
Heidi Franz	75	951	United States	2022
Nathalie Eklund	76	951	Sweden	2022
Julie Leth	77	951	Denmark	2022
Katerina Nash	78	951	Czech Republic	2022
Sandra Alonso	DNF	0	Spain	2022
Chaniporn Batriya	DNF	0	Thailand	2022
Emma Norsgaard	DNF	0	Denmark	2022
Daryna Nahuliak	DNF	0	Ukraine	2022
Sara Martin	DNF	0	Spain	2022
Jesse Vandenbulcke	DNF	0	Belgium	2022
Tereza Neumanova	DNF	0	Czech Republic	2022
Nesrine Houili	DNF	0	Algeria	2022
Lea Lin Teutenberg	DNF	0	Germany	2022
Valantine Nzayisenga	DNF	0	Rwanda	2022
Skylar Schneider	DNF	0	United States	2022
Nora Jencusova	DNF	0	Slovakia	2022
Marta Lach	DNF	0	Poland	2022
Valerie Demey	DNF	0	Belgium	2022
Nicole Koller	DNF	0	Switzerland	2022
Courteney Webb	DNF	0	South Africa	2022
Vittoria Guazzini	DNF	0	Italy	2022
Mikayla Harvey	DNF	0	New Zealand	2022
Hanna Nilsson	DNF	0	Sweden	2022
Marte Berg Edseth	DNF	0	Norway	2022
Alice Towers	DNF	0	Great Britain	2022
Natalia Franco	DNF	0	Colombia	2022
Safia al Sayegh	DNF	0	United Arab Emirates	2022
Katrine Aalerud	DNF	0	Norway	2022
Georgia Baker	DNF	0	Australia	2022
Rebecca Koerner	DNF	0	Denmark	2022
Lourdes Oyarbide	DNF	0	Spain	2022
Magdeleine Vallieres	DNF	0	Canada	2022
Danait Fitsum	DNF	0	Eritrea	2022
Caroline Andersson	DNF	0	Sweden	2022
Mieke Kroger	DNF	0	Germany	2022
Gladys Verhulst	DNF	0	France	2022
Maryna Varenyk	DNF	0	Ukraine	2022
Phetdarin Somrat	DNF	0	Thailand	2022
Ana Vitoria Magalhaes	DNF	0	Brazil	2022
Yanina Kuskova	DNF	0	Uzbekistan	2022
Henrietta Christie	DNF	0	New Zealand	2022
Elynor Backstedt	DNF	0	Great Britain	2022
Karolina Kumiega	DNF	0	Poland	2022
Maude Le Roux	DNF	0	South Africa	2022
Lauren Stephens	DNF	0	United States	2022
Josie Talbot	DNF	0	Australia	2022
Idoia Eraso	DNF	0	Spain	2022
Jade Wiel	DNF	0	France	2022
Emma Langley	DNF	0	United States	2022
Wing Yee Leung	DNF	0	Hongkong	2022
Luciana Roland	DNF	0	Argentina	2022
Aude Biannic	DNF	0	France	2022
Kathrin Schweinberger	DNS	0	Austria	2022
Demi Vollering	DNS	0	Netherlands	2022
Christina Schweinberger	DNS	0	Austria	2022
