name	result	time_in_seconds	nationality	year
Bradley Wiggins	1	3385	Great Britain	2014
Tony Martin	2	26	Germany	2014
Tom Dumoulin	3	40	Netherlands	2014
Vasil Kiryienka	4	47	Belarus	2014
Rohan Dennis	5	57	Australia	2014
Adriano Malori	6	71	Italy	2014
Nelson Oliveira	7	81	Portugal	2014
Anton Vorobyev	8	89	Russia	2014
Jan Barta	9	103	Czech Republic	2014
Jonathan Castroviejo	10	104	Spain	2014
Tiago Machado	11	112	Portugal	2014
Jesse Sergent	12	117	New Zealand	2014
Rasmus Quaade	13	136	Denmark	2014
Artem Ovechkin	14	138	Russia	2014
Andrew Talansky	15	140	United States	2014
Maciej Bodnar	16	142	Poland	2014
Sylvain Chavanel	17	148	France	2014
Silvan Dillier	18	150	Switzerland	2014
Tanel Kangert	19	152	Estonia	2014
Alex Dowsett	20	155	Great Britain	2014
Alexandr Pliuschin	21	167	Moldova	2014
Nikias Arndt	22	168	Germany	2014
Carlos Ivan Oyarzun	23	172	Chile	2014
Kristof Vandewalle	24	186	Belgium	2014
Jerome Coppel	25	188	France	2014
Alexandr Dyachenko	26	191	Kazakhstan	2014
Riccardo Zoidl	27	195	Austria	2014
Svein Tuft	28	198	Canada	2014
Petr Vakoc	29	198	Czech Republic	2014
Dario Cataldo	30	205	Italy	2014
Pieter Serry	31	210	Belgium	2014
Mateusz Taciak	32	211	Poland	2014
Tobias Ludvigsson	33	213	Sweden	2014
Markel Irizar	34	219	Spain	2014
Matthias Brandle	35	219	Austria	2014
Rein Taaramae	36	220	Estonia	2014
Tejay van Garderen	37	224	United States	2014
Daniil Fominykh	38	228	Kazakhstan	2014
Ignatas Konovalovas	39	229	Lithuania	2014
Kristijan Koren	40	230	Slovenia	2014
Nicolas Roche	41	230	Ireland	2014
Kanstantsin Siutsou	42	232	Belarus	2014
Andriy Vasylyuk	43	234	Ukraine	2014
Serghei Tvetcov	44	236	Romania	2014
Vegard Breen	45	240	Norway	2014
Winner Anacona	46	241	Colombia	2014
Gatis Smukulis	47	250	Latvia	2014
Lars Teutenberg	48	252	Germany	2014
Ramunas Navardauskas	49	272	Lithuania	2014
Aleksejs Saramotins	50	273	Latvia	2014
Eduardo Sepulveda	51	311	Argentina	2014
Andrei Nechita	52	333	Romania	2014
Lasse Norman Hansen	53	350	Denmark	2014
Reidar Bohlin Borgersen	54	358	Norway	2014
Zolt Der	55	387	Hungary	2014
Matej Mohoric	56	406	Slovenia	2014
Gabor Fejes	57	409	Hungary	2014
Oleksandr Golovash	58	485	Ukraine	2014
Elchin Asadov	59	543	Azerbaijan	2014
Gustavo Adolfo Mino	60	586	Paraguay	2014
Segundo Navarrete	61	648	Ecuador	2014
Sadiki Veli	62	817	North Macedonia	2014
Gorgi Popstefanov	63	873	United States	2014
Alexander Gingsjo	DNF	0	Sweden	2014
