name	result	time_in_seconds	nationality	year
Freddy Maertens	1	26519	Belgium	1981
Giuseppe Saronni	2	0	Italy	1981
Bernard Hinault	3	0	France	1981
Gilbert Duclos-Lassalle	4	0	France	1981
Guido Van Calster	5	0	Belgium	1981
Francesco Moser	6	0	Italy	1981
Fons de Wolf	7	0	Belgium	1981
Stefan Mutter	8	0	Switzerland	1981
Bruno Wolfer	9	0	Switzerland	1981
Pierino Gavazzi	10	0	Italy	1981
Johan van der Velde	11	0	Netherlands	1981
Klaus-Peter Thaler	12	0	Germany	1981
Serge Demierre	13	0	Switzerland	1981
Robert Millar	14	0	Great Britain	1981
Marino Lejarreta	15	0	Spain	1981
Ismael Lejarreta	16	0	Spain	1981
Silvano Contini	17	0	Italy	1981
Theo de Rooij	18	0	Netherlands	1981
NULL	19	0	NULL	1981
Jean-Rene Bernaudeau	20	0	France	1981
Joop Zoetemelk	21	0	Netherlands	1981
Serge Beucherie	22	0	France	1981
Sven-Ake Nilsson	23	0	Sweden	1981
Marc Madiot	24	0	France	1981
NULL	25	0	NULL	1981
Giovanni Battaglin	26	0	Italy	1981
Gianbattista Baronchelli	27	5	Italy	1981
Rene Martens	28	10	Belgium	1981
NULL	29	10	NULL	1981
Palmiro Masciarelli	30	10	Italy	1981
Gregor Braun	31	14	Germany	1981
Marcel Tinazzi	32	138	France	1981
Tommy Prim	33	184	Sweden	1981
Jostein Wilmann	34	261	Norway	1981
NULL	35	618	NULL	1981
Claudio Torelli	36	618	Italy	1981
Jean-Francois Rodriguez	37	618	France	1981
Fridolin Keller	38	618	Switzerland	1981
Jan Bogaert	39	618	Belgium	1981
Peter Winnen	40	618	Netherlands	1981
Jacques Bossis	41	618	France	1981
Sean Kelly	42	618	Ireland	1981
Per Bausager	43	618	Denmark	1981
Alf Segersall	44	618	Sweden	1981
Uwe Bolten	45	868	Germany	1981
George Mount	46	868	United States	1981
Greg LeMond	47	868	United States	1981
Jonathan Boyer	48	868	United States	1981
Jean-Marie Grezet	49	868	Switzerland	1981
Wayne Hildred	50	868	Australia	1981
Daniel Gisiger	51	868	Switzerland	1981
Guido Frei	52	868	Switzerland	1981
Jesus Suarez	53	868	Spain	1981
Bernardo Alfonsel	54	868	Spain	1981
Juan Fernandez	55	868	Spain	1981
Gottfried Gody Schmutz	56	868	Switzerland	1981
Jean-Luc Vandenbroucke	57	868	Belgium	1981
Faustino Ruperez	58	868	Spain	1981
Luciano Loro	59	868	Italy	1981
Charly Berard	60	868	France	1981
Stephen Roche	61	868	Ireland	1981
Dietrich Thurau	62	868	Germany	1981
Lucien Didier	63	868	Luxembourg	1981
Maurice Le Guilloux	64	868	France	1981
Knut Knudsen	65	868	Norway	1981
Eugene Urbany	66	868	Luxembourg	1981
Peter Kehl	67	868	Germany	1981
Bernard Vallet	68	868	France	1981
Hennie Kuiper	69	868	Netherlands	1981
NULL	DNF	0	NULL	1981
John Trevorrow	DNF	0	Australia	1981
Dag Selander	DNF	0	Norway	1981
Geir Digerud	DNF	0	Norway	1981
Jørgen Marcussen	DNF	0	Denmark	1981
Freddy Reimer	DNF	0	Denmark	1981
Richard Meehan	DNF	0	Canada	1981
Rolf Haller	DNF	0	Germany	1981
Rudi Weber	DNF	0	Germany	1981
Hans Hindelang	DNF	0	Germany	1981
Hans-Peter Jakst	DNF	0	Germany	1981
Hans Neumayer	DNF	0	Germany	1981
Dudley Hayton	DNF	0	Great Britain	1981
Graham Jones	DNF	0	Great Britain	1981
NULL	DNF	0	NULL	1981
John Eustice	DNF	0	United States	1981
Beat Breu	DNF	0	Switzerland	1981
Patrick Moerlen	DNF	0	Switzerland	1981
Josef Wehrli	DNF	0	Switzerland	1981
John Mullan	DNF	0	New Zealand	1981
Rafael Ladron	DNF	0	Spain	1981
Miguel Maria Lasa	DNF	0	Spain	1981
NULL	DNF	0	NULL	1981
Enrique Martinez	DNF	0	Spain	1981
Angel Arroyo	DNF	0	Spain	1981
Eulalio Garcia	DNF	0	Spain	1981
Marino Amadori	DNF	0	Italy	1981
Alfio Vandi	DNF	0	Italy	1981
NULL	DNF	0	NULL	1981
Jacques Hanegraaf	DNF	0	Netherlands	1981
Adrie van der Poel	DNF	0	Netherlands	1981
Ad Wijnands	DNF	0	Netherlands	1981
NULL	DNF	0	NULL	1981
Aad van den Hoek	DNF	0	Netherlands	1981
Jan Raas	DNF	0	Netherlands	1981
Henk Lubberding	DNF	0	Netherlands	1981
NULL	DNF	0	NULL	1981
NULL	DNF	0	NULL	1981
Roger De Vlaeminck	DNF	0	Belgium	1981
Rudy Pevenage	DNF	0	Belgium	1981
Gery Verlinden	DNF	0	Belgium	1981
Gerhard Schonbacher	DNF	0	Austria	1981
Erich Jagsch	DNF	0	Austria	1981
