name	result	time_in_seconds	nationality	year
Ute Enzenauer	1	5402	Germany	1981
Jeannie Longo	2	0	France	1981
Connie Carpenter-Phinney	3	0	United States	1981
Galina Tsareva	4	0	Russia	1981
Tamara Polyakova	5	0	Ukraine	1981
Beate Habetz	6	0	Germany	1981
Tatiana Kolesnikova	7	0	Russia	1981
Nadezhda Kibardina	8	0	Russia	1981
Marianne Berglund	9	0	Sweden	1981
Alla Lukutina	10	0	Russia	1981
Hennie Top	11	0	Netherlands	1981
Irina Belan	12	0	Russia	1981
Leontine van der Lienden	13	0	Netherlands	1981
Ines Varenkamp	14	0	Germany	1981
Josiane Vanhuysse	15	0	Belgium	1981
Tuulikki Jahre	16	11	Sweden	1981
Rosemarie Kurz	17	11	Switzerland	1981
Pia Prim	18	14	Sweden	1981
Agneta Asplund	19	18	Sweden	1981
Maria Johnsson	20	20	Sweden	1981
Madelaine Roese	21	30	United States	1981
Mieke Havik	22	45	Netherlands	1981
Jolanda Kalt	23	45	Switzerland	1981
Karen Ann Strong-Hearth	24	66	Canada	1981
Thea van Rijnsoever	25	133	Netherlands	1981
Cynthia Olavarri	26	133	United States	1981
Luisa Seghezzi	27	167	Italy	1981
Jacqueline Bradley	28	183	United States	1981
Lisbeth Korsmo	29	254	Norway	1981
Carole Vanier	30	254	Canada	1981
Helle Sørensen	31	254	Denmark	1981
Martine Robert	32	305	France	1981
Liv Hegstad	33	305	Norway	1981
Marina Mampay	34	305	Belgium	1981
Joy Potts	35	305	Great Britain	1981
Adalberta Marcucetti	36	360	Italy	1981
Evelyne Breyton	37	360	France	1981
Petra de Bruin	38	360	Netherlands	1981
Claudine Vierstraete	39	360	Belgium	1981
Maria-Luisa Colombo	40	424	Italy	1981
Gerda Sierens	41	424	Belgium	1981
Nadege Lamour	42	424	France	1981
Donatella Camatta	43	424	Italy	1981
Valerie Simonnet	44	432	France	1981
Wil Bezemer	45	432	Netherlands	1981
Marie-Jeanne Thijs	46	432	Belgium	1981
Hana Terflerova	47	432	Russia	1981
Katerina Kolarova	48	432	Russia	1981
Julie Earnshaw	49	432	Great Britain	1981
Pauline Strong	50	432	Great Britain	1981
Yanmei Li	51	432	China	1981
Nina Søbye	52	432	Norway	1981
Evelyne Muller	53	432	Switzerland	1981
Chen Yiemei	54	432	China	1981
Hannah North	55	432	United States	1981
Jeiangyue Chen	56	432	China	1981
Enrica Testori	57	432	Italy	1981
Elisabeth Fagerness	58	432	Norway	1981
Genevieve Robic-Brunet	59	432	Canada	1981
Marianne Stuwe	60	432	Germany	1981
Heidi Ingram	61	432	Canada	1981
Jenny De Smet	62	432	Belgium	1981
Gueirong Fang	63	432	China	1981
Vera Buhler	64	432	Canada	1981
Adriana Aliverti	65	874	Italy	1981
Catherine Swinnerton	66	874	Great Britain	1981
Claudia Kaul	67	874	Germany	1981
Rosemarie Schatzmann	68	945	Switzerland	1981
Gabi Habetz	69	945	Germany	1981
Fabienne Amedro	70	968	France	1981
Yara Villasenor	71	968	Mexico	1981
Sona Gebauerova	72	968	Czech Republic	1981
Viera Kerestesova	73	968	Czech Republic	1981
