name	result	time_in_seconds	nationality	year
Julian Alaphilippe	1	23914	France	2020
Wout van Aert	2	24	Belgium	2020
Marc Hirschi	3	24	Switzerland	2020
Micha? Kwiatkowski	4	24	Poland	2020
Jakob Fuglsang	5	24	Denmark	2020
Primoz Roglic	6	24	Slovenia	2020
Michael Matthews	7	53	Australia	2020
Alejandro Valverde	8	53	Spain	2020
Maximilian Schachmann	9	53	Germany	2020
Damiano Caruso	10	53	Italy	2020
Michael Valgren	11	53	Denmark	2020
Michael Woods	12	53	Canada	2020
Guillaume Martin	13	53	France	2020
Tom Dumoulin	14	53	Netherlands	2020
Vincenzo Nibali	15	57	Italy	2020
Mikel Landa	16	57	Spain	2020
Simon Geschke	17	94	Germany	2020
Alberto Bettiol	18	94	Italy	2020
Rudy Molard	19	94	France	2020
Pello Bilbao	20	94	Spain	2020
Greg Van Avermaet	21	94	Belgium	2020
Richard Carapaz	22	94	Ecuador	2020
Fausto Masnada	23	94	Italy	2020
Rigoberto Uran	24	94	Colombia	2020
Richie Porte	25	94	Australia	2020
Rui Costa	26	123	Portugal	2020
Jan Polanc	27	123	Slovenia	2020
Jesus Herrada	28	123	Spain	2020
Toms Skujins	29	220	Latvia	2020
Tiesj Benoot	30	224	Belgium	2020
Daniel Felipe Martinez	31	224	Colombia	2020
Esteban Chaves	32	224	Colombia	2020
Tadej Pogacar	33	224	Slovenia	2020
Valentin Madouas	34	315	France	2020
Dylan van Baarle	35	348	Netherlands	2020
Markus Hoelgaard	36	354	Norway	2020
Kenny Elissonde	37	510	France	2020
Nelson Oliveira	38	529	Portugal	2020
Tim Wellens	39	564	Belgium	2020
Loic Vliegen	40	564	Belgium	2020
Miguel Angel Lopez	41	564	Colombia	2020
Thomas Pidcock	42	564	Great Britain	2020
Giovanni Visconti	43	632	Italy	2020
Simon Clarke	44	632	Australia	2020
Sam Oomen	45	632	Netherlands	2020
Enrico Gasparotto	46	632	Switzerland	2020
Diego Ulissi	47	632	Italy	2020
Sergio Higuita	48	632	Colombia	2020
Vadim Pronskiy	49	632	Kazakhstan	2020
Sergio Henao	50	632	Colombia	2020
Nicolas Roche	51	632	Ireland	2020
Luis Leon Sanchez	52	632	Spain	2020
Sepp Kuss	53	755	United States	2020
Sebastian Schonberger	54	925	Austria	2020
Georg Zimmermann	55	925	Germany	2020
Andreas Leknessund	56	927	Norway	2020
Andrea Bagioli	57	927	Italy	2020
Krists Neilands	58	980	Latvia	2020
Jan Hirt	59	1182	Czech Republic	2020
Jonas Gregaard	60	1182	Denmark	2020
Hugo Houle	61	1182	Canada	2020
Dmitry Strakhov	62	1213	Russia	2020
Nico Denz	63	1319	Germany	2020
Jakub Otruba	64	1319	Czech Republic	2020
Casper Pedersen	65	1319	Denmark	2020
Paul Martens	66	1319	Germany	2020
Merhawi Kudus	67	1319	Eritrea	2020
Martijn Tusveld	68	1319	Netherlands	2020
Amanuel Ghebreigzabhier	69	1319	Eritrea	2020
?ukasz Owsian	70	1319	Poland	2020
Adam Toupalik	71	1319	Czech Republic	2020
Maciej Paterski	72	1319	Poland	2020
Carl Fredrik Hagen	73	1319	Norway	2020
Yuriy Natarov	74	1319	Kazakhstan	2020
Sergei Chernetski	75	1319	Russia	2020
Attila Valter	76	1319	Hungary	2020
Christopher Juul-Jensen	77	1319	Denmark	2020
Louis Meintjes	78	1319	South Africa	2020
Pieter Weening	79	1319	Netherlands	2020
Jonathan Klever Caicedo	80	1319	Ecuador	2020
James Shaw	81	1319	Great Britain	2020
Ivan Rovny	82	1319	Russia	2020
Micha? Go?as	83	1319	Poland	2020
Torstein Træen	84	1319	Norway	2020
Lucas Eriksson	85	1319	Sweden	2020
Ethan Hayter	86	1323	Great Britain	2020
Anatoliy Budyak	87	1685	Ukraine	2020
Ivo Oliveira	88	1928	Portugal	2020
Jai Hindley	DNF	0	Australia	2020
Damien Howson	DNF	0	Australia	2020
Chris Hamilton	DNF	0	Australia	2020
Luke Durbridge	DNF	0	Australia	2020
Nick Schultz	DNF	0	Australia	2020
Harold Tejada	DNF	0	Colombia	2020
Cristian Camilo Munoz	DNF	0	Colombia	2020
