name	result	time_in_seconds	nationality	year
Anna van der Breggen	1	14997	Netherlands	2020
Annemiek van Vleuten	2	80	Netherlands	2020
Elisa Longo Borghini	3	80	Italy	2020
Marianne Vos	4	121	Netherlands	2020
Liane Lippert	5	121	Germany	2020
Elizabeth Deignan	6	121	Great Britain	2020
Katarzyna Niewiadoma	7	121	Poland	2020
Cecilie Uttrup Ludwig	8	161	Denmark	2020
Lisa Brennauer	9	188	Germany	2020
Marlen Reusser	10	188	Switzerland	2020
Lauren Stephens	11	188	United States	2020
Chantal van den Broek-Blaak	12	188	Netherlands	2020
Audrey Cordon-Ragot	13	188	France	2020
Eugenia Bujak	14	188	Slovenia	2020
Niamh Fisher-Black	15	188	New Zealand	2020
Rasa Leleivyte	16	188	Lithuania	2020
Urska Pintar	17	188	Slovenia	2020
Mavi Garcia	18	188	Spain	2020
Ellen van Dijk	19	188	Netherlands	2020
Evita Muzic	20	188	France	2020
Eri Yonamine	21	188	Japan	2020
Mikayla Harvey	22	188	New Zealand	2020
Ane Santesteban	23	188	Spain	2020
Katrine Aalerud	24	188	Norway	2020
Anna Shackley	25	188	Great Britain	2020
Tayler Wiles	26	188	United States	2020
Sandra Levenez	27	188	France	2020
Lucy Kennedy	28	188	Australia	2020
Krista Doebel-Hickok	29	188	United States	2020
Alison Jackson	30	289	Canada	2020
Katia Ragusa	31	291	Italy	2020
Brodie Chapman	32	350	Australia	2020
Marta Cavalli	33	445	Italy	2020
Amy Pieters	34	569	Netherlands	2020
Demi Vollering	35	569	Netherlands	2020
Hannah Barnes	36	569	Great Britain	2020
Coryn Labecki	37	616	United States	2020
Spela Kern	38	616	Slovenia	2020
Arlenis Sierra	39	616	Cuba	2020
Omer Shapira	40	616	Israel	2020
Juliette Labous	41	616	France	2020
Sara Poidevin	42	616	Canada	2020
Aigul Gareeva	43	710	Russia	2020
Anna Kiesenhofer	44	713	Austria	2020
Tatiana Guderzo	45	777	Italy	2020
Georgia Williams	46	841	New Zealand	2020
Teniel Campbell	47	841	Trinidad & Tobago	2020
Marta Lach	48	841	Poland	2020
Maria Novolodskaia	49	841	Russia	2020
Valerie Demey	50	841	Belgium	2020
Rachel Neylan	51	841	Australia	2020
Hanna Nilsson	52	841	Sweden	2020
Jesse Vandenbulcke	53	841	Belgium	2020
Blanka Vas	54	841	Hungary	2020
Paula Andrea Patino	55	841	Colombia	2020
Ashleigh Moolman	56	841	South Africa	2020
Ievgeniia Vysotska	57	841	Ukraine	2020
Elise Chabbey	58	841	Switzerland	2020
Leah Kirchmann	59	841	Canada	2020
Anna Henderson	60	841	Great Britain	2020
Emma Norsgaard	61	841	Denmark	2020
Christine Majerus	62	841	Luxembourg	2020
Elizabeth Banks	63	841	Great Britain	2020
Nikola Noskova	64	841	Czech Republic	2020
Erica Magnaldi	65	841	Italy	2020
Karol-Ann Canuel	66	841	Canada	2020
Soraya Paladin	67	841	Italy	2020
Sarah Roy	68	883	Australia	2020
Amber Neben	69	908	United States	2020
Susanne Andersen	70	913	Norway	2020
Stine Borgli	71	913	Norway	2020
Victorie Guilman	72	913	France	2020
Melanie Maurer	73	953	Switzerland	2020
Tereza Neumanova	74	1083	Czech Republic	2020
Franziska Koch	75	1208	Germany	2020
Jarmila Machacova	76	1272	Czech Republic	2020
Diana Klimova	77	1278	Russia	2020
Yuliia Biriukova	78	1280	Ukraine	2020
Sara Martin	79	1280	Spain	2020
Ma?gorzata Jasinska	80	1282	Poland	2020
Ariadna Gutierrez	81	1377	Mexico	2020
Lija Laizane	82	1377	Latvia	2020
Carolina Upegui	83	1377	Colombia	2020
Anastasiya Kolesava	84	1422	Belarus	2020
Karolina Kumiega	85	1422	Poland	2020
Sarah Rijkes	86	1422	Austria	2020
Noemi Ruegg	87	1422	Switzerland	2020
Eyeru Tesfoam Gebru	88	1607	Ethiopia	2020
Ingrid Lorvik	89	1607	Norway	2020
Amalie Dideriksen	90	1607	Denmark	2020
Grace Brown	91	1607	Australia	2020
Floortje Mackaij	92	1607	Netherlands	2020
Julie Leth	93	1607	Denmark	2020
Lone Meertens	94	1607	Belgium	2020
Tereza Medvedova	95	1607	Slovakia	2020
Catalina Anais Soto	96	1607	Chile	2020
Alicia Gonzalez	97	1607	Spain	2020
Sandra Alonso	98	1607	Spain	2020
Mieke Kroger	99	1667	Germany	2020
Fien Van Eynde	100	1667	Belgium	2020
Kathrin Hammes	101	1667	Germany	2020
Mieke Docx	102	1667	Belgium	2020
Olivija Baleisyte	103	1764	Lithuania	2020
Julia Borgstrom	104	1806	Sweden	2020
Urska Zigart	105	2013	Slovenia	2020
Tiffany Cromwell	DNF	0	Australia	2020
Shara Marche	DNF	0	Australia	2020
Daniela Atehortua	DNF	0	Colombia	2020
Martine Gjøs	DNF	0	Norway	2020
Birgitte Krogsgaard	DNF	0	Denmark	2020
Pernille Mathiesen	DNF	0	Denmark	2020
Marie-Soleil Blais	DNF	0	Canada	2020
Magdeleine Vallieres	DNF	0	Canada	2020
Trixi Worrack	DNF	0	Germany	2020
Romy Kasper	DNF	0	Germany	2020
Lisa Norden	DNF	0	Sweden	2020
Fatima Zahra El Hayani	DNF	0	Morocco	2020
Siham Es-saddy	DNF	0	Morocco	2020
Fernanda Yapura	DNF	0	Argentina	2020
