name	result	time_in_seconds	nationality	year
Amber Neben	1	2197	United States	2016
Ellen van Dijk	2	5	Netherlands	2016
Katrin Garfoot	3	8	Australia	2016
Olga Zabelinskaya	4	11	Uzbekistan	2016
Annemiek van Vleuten	5	25	Netherlands	2016
Lisa Brennauer	6	57	Germany	2016
Trixi Worrack	7	71	Germany	2016
Ann-Sophie Duyck	8	87	Belgium	2016
Katarzyna Pawlowska	9	96	Poland	2016
Alena Amialiusik	10	101	Belarus	2016
Lotta Henttala	11	117	Finland	2016
Carmen Small	12	122	United States	2016
Anna van der Breggen	13	131	Netherlands	2016
Hannah Barnes	14	143	Great Britain	2016
Elena Cecchini	15	150	Italy	2016
Emilia Fahlin	16	150	Sweden	2016
Julie Leth	17	151	Denmark	2016
Ashleigh Moolman	18	165	South Africa	2016
Karol-Ann Canuel	19	168	Canada	2016
Cecilie Uttrup Ludwig	20	173	Denmark	2016
Eri Yonamine	21	181	Japan	2016
Audrey Cordon-Ragot	22	194	France	2016
Olena Pavlukhina	23	201	Azerbaijan	2016
Olga Shekel	23	208	Ukraine	2016
Hayley Simmonds	24	227	Great Britain	2016
Valeriya Kononenko	25	238	Ukraine	2016
Anastasiia Chursina	26	242	Russia	2016
Anna Turvey	27	254	Ireland	2016
Nicole Hanselmann	28	255	Switzerland	2016
Sheyla Gutierrez	29	295	Spain	2016
Varvara Fasoi	30	309	Greece	2016
Samantha Sanders	31	355	South Africa	2016
Mossana Debesay	32	413	Eritrea	2016
Ebtissam Zayed Ahmed	33	495	Egypt	2016
Wehazit Kidane	34	536	Eritrea	2016
Hong Guo	35	582	China	2016
Jiajun Sun	36	613	China	2016
Najla Aljuraiwi	37	619	Kuwait	2016
Beatha Ingabire	38	805	Rwanda	2016
Nada Aljuraiwi	39	910	Kuwait	2016
Phetdarin Somrat	DSQ	0	Thailand	2016
