name	result	time_in_seconds	nationality	year
Leontien Zijlaard-van Moorsel	1	8480	Netherlands	1993
Jeannie Longo	2	0	France	1993
Laura Charameda	3	4	United States	1993
NULL	4	4	NULL	1993
Sally Zack	5	4	United States	1993
Cathy Reardon	6	4	Australia	1993
Luzia Zberg	7	4	Switzerland	1993
Elsbeth van Rooy-Vink	8	4	Netherlands	1993
Marie Holjer	9	4	Sweden	1993
Vera Hohlfeld	10	4	Germany	1993
Heidi Van De Vijver	11	4	Belgium	1993
Susan Palmer-Komar	12	4	Canada	1993
Marie Purvis	13	4	Great Britain	1993
Catherine Marsal	14	4	France	1993
Sarah Phillips	15	4	Great Britain	1993
Aleksandra Koliaseva	16	4	Russia	1993
Barbara Heeb	17	4	Switzerland	1993
Clara Hughes	18	4	Canada	1993
Joane Somarriba	19	4	Spain	1993
Svetlana Stolbova	20	4	Russia	1993
Ana Barros	21	4	Portugal	1993
Rebecca Bailey	22	4	New Zealand	1993
Julie Young	23	4	United States	1993
Jeanne Golay	24	4	United States	1993
Fabiana Luperini	25	4	Italy	1993
Roberta Bonanomi	26	4	Italy	1993
NULL	27	13	NULL	1993
Anne Samplonius	28	18	Canada	1993
Alison Dunlap	29	26	United States	1993
Alison Sydor	30	26	Canada	1993
Sandra Schumacher	31	26	Germany	1993
Monica Valen	32	26	Norway	1993
Diana Ziliute	33	26	Lithuania	1993
Claudia Lehmann	34	26	Germany	1993
Leslie Tomlinson	35	26	Canada	1993
Nada Cristofoli	36	26	Italy	1993
Elena Barillova	37	26	Slovakia	1993
Jocelyne Messori-Hugi	38	26	France	1993
Elisabeth Westman	39	26	Sweden	1993
Danielle Overgaag	40	26	Netherlands	1993
Kathryn Watt	41	26	Australia	1993
Jacqueline Nelson	42	26	New Zealand	1993
Ingunn Bollerud	43	26	Norway	1993
Lenka Ilavska	44	26	Slovakia	1993
Tamara Polyakova	45	26	Ukraine	1993
Mara Calliope	46	26	Italy	1993
Corinne Le Gal	47	26	France	1993
Alessandra Cappellotto	48	26	Italy	1993
Sarka Vichova	49	26	Czech Republic	1993
Astrid Schop	50	26	Netherlands	1993
Edita Pucinskaite	51	26	Lithuania	1993
Laurence Leboucher	52	26	France	1993
Kristel Werckx	53	26	Belgium	1993
Katrin Ranger	54	26	Germany	1993
Ildiko Paczova	55	26	Slovakia	1993
Liuda Triabaite	56	26	Lithuania	1993
Irina Osipchenko	57	26	Russia	1993
Irina Denisyuk	58	26	Ukraine	1993
Ragnhild Kostøl Haug	59	26	Norway	1993
Petra de Boer-Grimbergen	60	26	Netherlands	1993
Gulnara Fatkoulina	61	26	Russia	1993
Anne-Marie Cooreman	62	26	Belgium	1993
Petra Walczewski	63	26	Switzerland	1993
Jenny Algelid-Bengtsson	64	26	Sweden	1993
Sally-Ann Timmis	65	26	Great Britain	1993
Linda Jackson	66	26	Canada	1993
Alexandra Bahler	67	26	Switzerland	1993
Gunhild Øm	68	26	Norway	1993
Natalia Youganiouk	69	26	Ukraine	1993
Yvonne Schnorf	70	26	Switzerland	1993
Jackie Martin	71	26	South Africa	1993
NULL	72	26	NULL	1993
Karen Kurreck	73	26	United States	1993
Susy Pryde	74	26	New Zealand	1993
Bogumi?a Matusiak	75	26	Poland	1993
Silvia Juarez	76	26	Spain	1993
Julie Pekarkova	77	26	Czech Republic	1993
Monika Riediker	78	26	Switzerland	1993
Irina Safanova	79	26	Bulgaria	1993
Regina Schleicher	80	26	Germany	1993
Madeleine Lindberg	81	26	Sweden	1993
Marina Proudnikova	82	26	Russia	1993
Yvonne McGregor	83	26	Great Britain	1993
Kristin Reichling	84	26	Germany	1993
Olga Sokolova	85	26	Russia	1993
Hanne Malmberg	86	716	Denmark	1993
Dori Ruano	87	974	Spain	1993
Sarah Fien	88	974	Australia	1993
Maryanne Shaw	89	974	Australia	1993
Elena Malikova	90	974	Czech Republic	1993
Anja Lenaers	91	974	Belgium	1993
Renata Holova	92	974	Czech Republic	1993
Melina Rasmussen	93	974	Denmark	1993
Sanne Schmidt	94	974	Denmark	1993
Iosune Artolazabal	95	974	Spain	1993
Nuria Florencio Cabre	96	974	Spain	1993
Marion Clignet	97	974	France	1993
Eva Izsak	98	974	Hungary	1993
Tone Fossum	99	974	Norway	1993
Lesley Dove	100	974	New Zealand	1993
Kay Jones	101	974	New Zealand	1993
Roz Reekie-may	102	974	New Zealand	1993
Malgorzata Jedrzejewska	103	974	Poland	1993
Roza Iakupova	104	974	Russia	1993
Dana Krnavcova	105	974	Slovakia	1993
Gunilla Johansson	106	974	Sweden	1993
Elena Ogoui	107	974	Ukraine	1993
Elena Tchalykh	108	974	Azerbaijan	1993
Edita Kubelskiene	109	974	Lithuania	1993
Rasa Mazeikyte	110	974	Lithuania	1993
May Britt Hartwell Valand	111	992	Norway	1993
