name	result	time_in_seconds	nationality	year
Rui Costa	1	26744	Portugal	2013
Joaquim Rodriguez	2	0	Spain	2013
Alejandro Valverde	3	15	Spain	2013
Vincenzo Nibali	4	15	Italy	2013
Andrey Grivko	5	31	Ukraine	2013
Peter Sagan	6	34	Slovakia	2013
Simon Clarke	7	34	Australia	2013
Maxim Iglinskiy	8	34	Kazakhstan	2013
Philippe Gilbert	9	34	Belgium	2013
Fabian Cancellara	10	34	Switzerland	2013
Bauke Mollema	11	34	Netherlands	2013
Lars Petter Nordhaug	12	34	Norway	2013
Daniel Moreno	13	34	Spain	2013
Simon Geschke	14	34	Germany	2013
Sergio Henao	15	34	Colombia	2013
Michele Scarponi	16	34	Italy	2013
Filippo Pozzato	17	65	Italy	2013
Arthur Vichot	18	65	France	2013
Maciej Paterski	19	65	Poland	2013
Edvald Boasson Hagen	20	65	Norway	2013
Jakob Fuglsang	21	65	Denmark	2013
Ignatas Konovalovas	22	86	Lithuania	2013
Greg Van Avermaet	23	86	Belgium	2013
Yuri Trofimov	24	86	Russia	2013
Pieter Weening	25	104	Netherlands	2013
Zdenek Stybar	26	119	Czech Republic	2013
Aleksejs Saramotins	27	121	Latvia	2013
Romain Bardet	28	121	France	2013
Serge Pauwels	29	121	Belgium	2013
Matija Kvasina	30	121	Croatia	2013
Alex Howes	31	121	United States	2013
Chris Anker Sørensen	32	121	Denmark	2013
Micha? Go?as	33	121	Poland	2013
Darwin Atapuma	34	121	Colombia	2013
Carlos Betancur	35	121	Colombia	2013
Tiago Machado	36	121	Portugal	2013
Peter Stetina	37	121	United States	2013
Stefan Denifl	38	125	Austria	2013
Marcus Burghardt	39	220	Germany	2013
Jan Polanc	40	220	Slovenia	2013
Rigoberto Uran	41	267	Colombia	2013
John Degenkolb	42	293	Germany	2013
Sergei Chernetski	43	295	Russia	2013
Anthony Roux	44	295	France	2013
Gregory Rast	45	384	Switzerland	2013
Thomas Lofkvist	46	447	Sweden	2013
Andrei Nechita	47	486	Romania	2013
Jonathan Castroviejo	48	486	Spain	2013
Paul Martens	49	486	Germany	2013
Thibaut Pinot	50	549	France	2013
Giovanni Visconti	51	555	Italy	2013
Bartosz Huzarski	52	576	Poland	2013
Danilo Wyss	53	680	Switzerland	2013
Jan Barta	54	680	Czech Republic	2013
Fabian Wegmann	55	680	Germany	2013
Amael Moinard	56	680	France	2013
Jan Bakelants	57	680	Belgium	2013
Rafa? Majka	58	775	Poland	2013
Cyril Gautier	59	911	France	2013
Wilco Kelderman	60	911	Netherlands	2013
Thomas Voeckler	61	911	France	2013
Rory Sutherland	DNF	0	Australia	2013
Michael Matthews	DNF	0	Australia	2013
David Tanner	DNF	0	Australia	2013
Richie Porte	DNF	0	Australia	2013
Cadel Evans	DNF	0	Australia	2013
Rohan Dennis	DNF	0	Australia	2013
Cameron Meyer	DNF	0	Australia	2013
Mathew Hayman	DNF	0	Australia	2013
Winner Anacona	DNF	0	Colombia	2013
Janier Acevedo	DNF	0	Colombia	2013
Miguel Angel Rubiano	DNF	0	Colombia	2013
Cayetano Jose Sarmiento	DNF	0	Colombia	2013
Nairo Quintana	DNF	0	Colombia	2013
Thor Hushovd	DNF	0	Norway	2013
Jussi Veikkanen	DNF	0	Finland	2013
Matti Breschel	DNF	0	Denmark	2013
Francois Parisien	DNF	0	Canada	2013
Christian Meier	DNF	0	Canada	2013
Dominik Nerz	DNF	0	Germany	2013
Kanstantsin Siutsou	DNF	0	Belarus	2013
Tobias Ludvigsson	DNF	0	Sweden	2013
Fredrik Kessiakoff	DNF	0	Sweden	2013
Adil Jelloul	DNF	0	Morocco	2013
Essaid Abelouache	DNF	0	Morocco	2013
Lahcen Saber	DNF	0	Morocco	2013
Reda Aadel	DNF	0	Morocco	2013
Ismail Ayoune	DNF	0	Morocco	2013
Enzo Josue Moyano	DNF	0	Argentina	2013
Juan Pablo Magallanes	DNF	0	Mexico	2013
Uri Martins	DNF	0	Mexico	2013
Hector Hugo Rangel	DNF	0	Mexico	2013
Andrey Zeits	DNF	0	Kazakhstan	2013
Alexey Lutsenko	DNF	0	Kazakhstan	2013
Chris Froome	DNF	0	Great Britain	2013
Geraint Thomas	DNF	0	Great Britain	2013
Joshua Edmondson	DNF	0	Great Britain	2013
Bradley Wiggins	DNF	0	Great Britain	2013
Ian Stannard	DNF	0	Great Britain	2013
Steve Cummings	DNF	0	Great Britain	2013
Mark Cavendish	DNF	0	Great Britain	2013
Luke Rowe	DNF	0	Great Britain	2013
Andrew Talansky	DNF	0	United States	2013
Taylor Phinney	DNF	0	United States	2013
Chris Horner	DNF	0	United States	2013
Tejay van Garderen	DNF	0	United States	2013
Matthew Busche	DNF	0	United States	2013
Andriy Khripta	DNF	0	Ukraine	2013
Vitaliy Buts	DNF	0	Ukraine	2013
Mykhaylo Kononenko	DNF	0	Ukraine	2013
Serhiy Grechyn	DNF	0	Ukraine	2013
Yaroslav Popovych	DNF	0	Ukraine	2013
Sebastien Reichenbach	DNF	0	Switzerland	2013
Michael Albasini	DNF	0	Switzerland	2013
Mathias Frank	DNF	0	Switzerland	2013
Oliver Zaugg	DNF	0	Switzerland	2013
Michael Schar	DNF	0	Switzerland	2013
Martin Elmiger	DNF	0	Switzerland	2013
Daniel Teklehaimanot	DNF	0	Eritrea	2013
Jani Tewelde	DNF	0	Eritrea	2013
Meron Russom	DNF	0	Eritrea	2013
Rafaa Chtioui	DNF	0	Tunisia	2013
Reinardt Janse van Rensburg	DNF	0	South Africa	2013
Daryl Impey	DNF	0	South Africa	2013
Viesturs Luksevics	DNF	0	Latvia	2013
Andris Smirnovs	DNF	0	Latvia	2013
Sam Bewley	DNF	0	New Zealand	2013
George Bennett	DNF	0	New Zealand	2013
Jack Bauer	DNF	0	New Zealand	2013
Pedro Sequera	DNF	0	Venezuela	2013
Yonathan Monsalve	DNF	0	Venezuela	2013
Carlos Jose Ochoa	DNF	0	Venezuela	2013
Fredy Vargas	DNF	0	Venezuela	2013
Yonder Godoy	DNF	0	Venezuela	2013
Jackson Rodriguez	DNF	0	Venezuela	2013
Murilo Antonio Fischer	DNF	0	Brazil	2013
Rafael Andriato	DNF	0	Brazil	2013
Andrey Amador	DNF	0	Costa Rica	2013
Gregory Brenes	DNF	0	Costa Rica	2013
Maciej Bodnar	DNF	0	Poland	2013
Micha? Kwiatkowski	DNF	0	Poland	2013
Tomasz Marczynski	DNF	0	Poland	2013
Przemys?aw Niemiec	DNF	0	Poland	2013
Sylwester Szmyd	DNF	0	Poland	2013
Janez Brajkovic	DNF	0	Slovenia	2013
Borut Bozic	DNF	0	Slovenia	2013
Matej Mugerli	DNF	0	Slovenia	2013
Kristijan Koren	DNF	0	Slovenia	2013
Grega Bole	DNF	0	Slovenia	2013
Gert Joeaar	DNF	0	Estonia	2013
Tanel Kangert	DNF	0	Estonia	2013
Alo Jakin	DNF	0	Estonia	2013
Ramunas Navardauskas	DNF	0	Lithuania	2013
Gediminas Bagdonas	DNF	0	Lithuania	2013
Stanislav Kozubek	DNF	0	Czech Republic	2013
Frantisek Rabon	DNF	0	Czech Republic	2013
Martin Hunal	DNF	0	Czech Republic	2013
Jakub Novak	DNF	0	Czech Republic	2013
Spas Gyurov	DNF	0	Bulgaria	2013
Radoslav Rogina	DNF	0	Croatia	2013
Kristijan ?urasek	DNF	0	Croatia	2013
Ivan Stevic	DNF	0	Serbia	2013
Andre Cardoso	DNF	0	Portugal	2013
Nicolas Roche	DNF	0	Ireland	2013
Sam Bennett	DNF	0	Ireland	2013
Dan Martin	DNF	0	Ireland	2013
Matt Brammeier	DNF	0	Ireland	2013
Ioannis Tamouridis	DNF	0	Greece	2013
Jose Ragonessi	DNF	0	Ecuador	2013
Serghei Tvetcov	DNF	0	Romania	2013
Youcef Reguigui	DNF	0	Algeria	2013
Alberto Contador	DNF	0	Spain	2013
Egoi Martinez	DNF	0	Spain	2013
Luis Leon Sanchez	DNF	0	Spain	2013
Jose Herrada	DNF	0	Spain	2013
Samuel Sanchez	DNF	0	Spain	2013
Diego Ulissi	DNF	0	Italy	2013
Luca Paolini	DNF	0	Italy	2013
Alessandro Vanotti	DNF	0	Italy	2013
Ivan Santaromita	DNF	0	Italy	2013
Rinaldo Nocentini	DNF	0	Italy	2013
Christophe Riblon	DNF	0	France	2013
Warren Barguil	DNF	0	France	2013
Sea Keong Loh	DNF	0	Malaysia	2013
Alexandr Kolobnev	DNF	0	Russia	2013
Laurens ten Dam	DNF	0	Netherlands	2013
Tom Dumoulin	DNF	0	Netherlands	2013
Robert Gesink	DNF	0	Netherlands	2013
Sebastian Langeveld	DNF	0	Netherlands	2013
Johnny Hoogerland	DNF	0	Netherlands	2013
Tom-Jelte Slagter	DNF	0	Netherlands	2013
Maxime Monfort	DNF	0	Belgium	2013
Bjorn Leukemans	DNF	0	Belgium	2013
Johan Vansummeren	DNF	0	Belgium	2013
Bob Jungels	DNF	0	Luxembourg	2013
King Lok Cheung	DNF	0	Hongkong	2013
Ho Ting Kwok	DNF	0	Hongkong	2013
Martin Velits	DNF	0	Slovakia	2013
Matej Jurco	DNF	0	Slovakia	2013
Patrik Tybor	DNF	0	Slovakia	2013
Peter Velits	DNF	0	Slovakia	2013
Juraj Sagan	DNF	0	Slovakia	2013
