name	result	time_in_seconds	nationality	year
Karin Thurig	1	1853	Switzerland	2004
Judith Arndt	2	51	Germany	2004
Zulfiya Zabirova	3	56	Kazakhstan	2004
Joane Somarriba	4	75	Spain	2004
Edita Pucinskaite	5	92	Lithuania	2004
Mirjam Melchers	6	101	Netherlands	2004
Christine Thornburn	7	104	United States	2004
Priska Doppmann	8	114	Switzerland	2004
Oenone Wood	9	127	Australia	2004
Tatiana Guderzo	10	131	Italy	2004
Anita Valen	11	136	Norway	2004
Svetlana Stolbova	12	136	Russia	2004
Trixi Worrack	13	136	Germany	2004
Dede Demet-Barry	14	137	United States	2004
Jeannie Longo	15	149	France	2004
Olivia Gollan	16	158	Australia	2004
Bogumi?a Matusiak	17	164	Poland	2004
Dori Ruano	18	169	Spain	2004
Anna Zugno	19	182	Italy	2004
Edwige Pitel	20	183	France	2004
Susan Palmer-Komar	21	195	Canada	2004
Blaza Pintaric	22	196	Slovenia	2004
Tatiana Panina	23	211	Russia	2004
Natasha Maes	24	214	Belgium	2004
Jolanta Polikeviciute	25	221	Lithuania	2004
Evy Van Damme	26	222	Belgium	2004
Ana Paola Madrinan	27	226	Colombia	2004
Malgorzata Wysocka	28	237	Poland	2004
Natalya Kachalka	29	242	Ukraine	2004
Maria Mercedes Cagigas	30	244	Spain	2004
Loes Gunnewijk	31	266	Netherlands	2004
Tiina Nieminen	32	271	Finland	2004
Amy Moore	33	309	Canada	2004
Veronica Leal	34	440	Mexico	2004
