name	result	time_in_seconds	nationality	year
Michael Rogers	1	3450	Australia	2004
Michael Rich	2	72	Germany	2004
Alexandre Vinokourov	3	85	Kazakhstan	2004
Gustav Erik Larsson	4	94	Sweden	2004
David Zabriskie	5	96	United States	2004
Marzio Bruseghin	6	97	Italy	2004
Marc Wauters	7	116	Belgium	2004
Fabian Cancellara	8	130	Switzerland	2004
Jose Ivan Gutierrez	9	143	Spain	2004
Uwe Peschel	10	148	Germany	2004
Andrea Peron	11	152	Italy	2004
Brian Bach Vandborg	12	154	Denmark	2004
Bert Roesems	13	156	Belgium	2004
Eddy Seigneur	14	161	France	2004
David McCann	15	164	Ireland	2004
Przemys?aw Niemiec	16	179	Poland	2004
Dmitry Semov	17	185	Russia	2004
Ivailo Gabrovski	18	196	Bulgaria	2004
Sergiy Matveyev	19	218	Ukraine	2004
Laszlo Bodrogi	20	220	France	2004
Frederic Finot	21	222	France	2004
Eric Wohlberg	22	228	Canada	2004
Joost Posthuma	23	230	Netherlands	2004
Ruslan Ivanov	24	234	Moldova	2004
Bradley McGee	25	248	Australia	2004
Ivan Ramiro Parra	26	251	Colombia	2004
Jean Nuttli	27	255	Switzerland	2004
Michael Blaudzun	28	259	Denmark	2004
Victor Hugo Pena	29	262	Colombia	2004
Michal Hrazdira	30	264	Czech Republic	2004
Marcus Ljungqvist	31	267	Sweden	2004
Svein Tuft	32	286	Canada	2004
Gregor Gazvoda	33	297	Slovenia	2004
Isidro Nozal	34	302	Spain	2004
Tom Danielson	35	306	United States	2004
Benoit Joachim	36	307	Luxembourg	2004
Denis Shkarpeta	37	331	Uzbekistan	2004
David O'Loughlin	38	332	Ireland	2004
Oleg Zhukov	39	345	Russia	2004
Yuriy Krivtsov	40	348	Ukraine	2004
Raivis Belohvosciks	41	357	Latvia	2004
Krzysztof Ciesielski	42	367	Poland	2004
Martin Prazdnovsky	43	408	Slovakia	2004
Csaba Szekeres	44	439	Hungary	2004
Rafael Nuritdinov	45	472	Uzbekistan	2004
Dean Podgornik	46	513	Slovenia	2004
Bart Voskamp	DSQ	0	Netherlands	2004
