name	result	time_in_seconds	nationality	year
Zulfiya Zabirova	1	1802	Kazakhstan	2002
Nicole Brandli	2	14	Switzerland	2002
Karin Thurig	3	15	Switzerland	2002
Joane Somarriba	4	15	Spain	2002
Sara Carrigan	5	20	Australia	2002
Olga Slyusareva	6	32	Russia	2002
Jeannie Longo	7	42	France	2002
Rasa Polikeviciute	8	44	Lithuania	2002
Judith Arndt	9	48	Germany	2002
Leontien Zijlaard-van Moorsel	10	51	Netherlands	2002
Dori Ruano	11	66	Spain	2002
Catherine Marsal	12	67	France	2002
Alison Wright	13	69	Australia	2002
Genevieve Jeanson	14	76	Canada	2002
Amber Neben	15	80	United States	2002
Kimberly Baldwin	16	81	United States	2002
Melissa Holt	17	85	New Zealand	2002
Edita Pucinskaite	18	85	Lithuania	2002
Susanne Ljungskog	19	89	Sweden	2002
Olga Zabelinskaya	20	94	Uzbekistan	2002
Giovanna Troldi	21	95	Italy	2002
Lyne Bessette	22	95	Canada	2002
Jenny Algelid-Bengtsson	23	97	Sweden	2002
Mirjam Melchers	24	100	Netherlands	2002
Bogumi?a Matusiak	25	101	Poland	2002
Zinaida Stahurskaya	26	104	Belarus	2002
Anita Valen	27	105	Norway	2002
Lada Kozlikova	28	114	Czech Republic	2002
Evy Van Damme	29	120	Belgium	2002
Tetyana Andrushchenko	30	121	Ukraine	2002
Edwige Pitel	31	121	France	2002
Frances Newstead	32	132	Great Britain	2002
Kirsty Nicole Robb	33	134	New Zealand	2002
Iryna Chuzhynova	34	141	Ukraine	2002
Maria Luisa Calle Williams	35	142	Colombia	2002
Tina Liebig	36	145	Germany	2002
Solrun Flatas	37	146	Norway	2002
Cindy Pieters	38	182	Belgium	2002
Doris Posch	39	185	Austria	2002
Geraldine Gill	40	229	Ireland	2002
Evelyn Garcia	41	261	El Salvador	2002
Chalime Giourbouz	42	284	Greece	2002
