name	result	time_in_seconds	nationality	year
Rohan Dennis	1	3905	Australia	2019
Remco Evenepoel	2	69	Belgium	2019
Filippo Ganna	3	115	Italy	2019
Patrick Bevin	4	118	New Zealand	2019
Alex Dowsett	5	122	Great Britain	2019
Lawson Craddock	6	128	United States	2019
Tanel Kangert	7	128	Estonia	2019
Nelson Oliveira	8	130	Portugal	2019
Tony Martin	9	147	Germany	2019
Stefan Kung	10	167	Switzerland	2019
Victor Campenaerts	11	170	Belgium	2019
Primoz Roglic	12	180	Slovenia	2019
Luke Durbridge	13	181	Australia	2019
John Archibald	14	191	Great Britain	2019
Dylan van Baarle	15	217	Netherlands	2019
Edoardo Affini	16	218	Italy	2019
Kasper Asgreen	17	218	Denmark	2019
Pierre Latour	18	225	France	2019
Chad Haga	19	237	United States	2019
Maciej Bodnar	20	241	Poland	2019
Jos van Emden	21	242	Netherlands	2019
Nils Politt	22	251	Germany	2019
Kamil Gradek	23	253	Poland	2019
Jonathan Castroviejo	24	259	Spain	2019
Alexey Lutsenko	25	269	Kazakhstan	2019
Eddie Dunbar	26	287	Ireland	2019
Hugo Houle	27	298	Canada	2019
Benjamin Thomas	28	298	France	2019
Martin Toft Madsen	29	299	Denmark	2019
Daniel Felipe Martinez	30	305	Colombia	2019
Vasil Kiryienka	31	316	Belarus	2019
Ryan Mullen	32	316	Ireland	2019
Jan Barta	33	322	Czech Republic	2019
Bob Jungels	34	337	Luxembourg	2019
Claudio Imhof	35	372	Switzerland	2019
Jan Tratnik	36	375	Slovenia	2019
Daniil Fominykh	37	411	Kazakhstan	2019
Josef Cerny	38	416	Czech Republic	2019
Lluis Mas	39	422	Spain	2019
Matthias Brandle	40	443	Austria	2019
Stefan de Bod	41	446	South Africa	2019
Alexander Evtushenko	42	495	Russia	2019
Eduardo Sepulveda	43	525	Argentina	2019
Chun Kai Feng	44	563	Taiwan	2019
Ramunas Navardauskas	45	636	Lithuania	2019
Jan Andrej Cully	46	655	Slovakia	2019
Muradjan Halmuratov	47	734	Uzbekistan	2019
Yves Lampaert	48	796	Belgium	2019
Runar Orn Agustsson	49	885	Iceland	2019
Ahmad Badreddin Wais	50	886	Syria	2019
Eduard-Michael Grosu	51	895	Romania	2019
Gustavo Adolfo Mino	52	931	Paraguay	2019
Khaled Alkhalifah	53	933	Kuwait	2019
Saied Jafer Alali	54	952	Kuwait	2019
Drikus Coetzee	55	955	Namibia	2019
Nazir Jaser	56	1498	Syria	2019
Christopher Symonds	57	1696	Ghana	2019
