name	result	time_in_seconds	nationality	year
Beth Heiden	1	6315	United States	1980
Tuulikki Jahre	2	0	Sweden	1980
Mandy Jones	3	0	Great Britain	1980
Francesca Galli	4	0	Italy	1980
Heid Hopkins	5	25	United States	1980
Pia Prim	6	74	Sweden	1980
Hennie Top	7	109	Netherlands	1980
Karen Ann Strong-Hearth	8	131	Canada	1980
Leontine van der Lienden	9	131	Netherlands	1980
Jeannie Longo	10	137	France	1980
Agneta Asplund	11	178	Sweden	1980
Wil Bezemer	12	178	Netherlands	1980
Marianne Berglund	13	210	Sweden	1980
Mary Barendregt	14	210	Netherlands	1980
Galina Tsareva	15	238	Russia	1980
Petra de Bruin	16	248	Netherlands	1980
Evelyne Muller	17	248	Switzerland	1980
Arlette Lacan	18	283	France	1980
Anna-Karin Johansson	19	319	Sweden	1980
Maria-Magdalena Kennes	20	352	Belgium	1980
Giuseppina Micheloni	21	352	Italy	1980
Adalberta Marcucetti	22	373	Italy	1980
Elisabeth Camus	23	373	France	1980
Pauline Strong	24	396	Great Britain	1980
Nadezhda Kibardina	25	396	Russia	1980
Beate Habetz	26	438	Germany	1980
Sylviane Lecomte	27	438	France	1980
Nina Søbye	28	438	Norway	1980
Thea van Rijnsoever	29	438	Netherlands	1980
Rebecca Daughton	30	449	United States	1980
Hanneke Lieverse	31	449	Netherlands	1980
Josiane Vanhuysse	32	449	Belgium	1980
Elisabeth Davis	33	449	United States	1980
Rejane Cahard	34	498	France	1980
Chantal Fortier	35	523	France	1980
Marie-Claude Audet	36	549	Canada	1980
Julie Earnshaw	37	554	Great Britain	1980
Sylvia Burke	38	563	Canada	1980
Maria Herijgers	39	601	Belgium	1980
Ann Carlsen	40	603	Norway	1980
Joy Potts	41	612	Great Britain	1980
Sarah Doctor	42	646	United States	1980
Liv Hegstad	43	682	Norway	1980
Ines Varenkamp	44	682	Germany	1980
Christina Menuzzo	45	682	Italy	1980
Rosemarie Schatzmann	46	691	Switzerland	1980
Gaby Prieler-Altweck	47	728	Germany	1980
Mary-Jane Reoch	48	833	United States	1980
Claudia Kaul	49	833	Germany	1980
Carole Vanier	50	833	Canada	1980
Jinngin Sun	51	926	China	1980
Angela Mariani	52	962	Italy	1980
Xu Rongyen	53	989	China	1980
Marylin Friesen	54	1053	Canada	1980
Silvia Mambelli	55	1053	Italy	1980
Yanxia Ma	56	1067	China	1980
Gabi Habetz	57	1262	Germany	1980
Zhao Exiang	58	1294	China	1980
Mercedes Ateca	59	1345	Spain	1980
Zhou Suying	60	1360	China	1980
Hou Juzhen	61	1657	China	1980
