name	result	time_in_seconds	nationality	year
Kristin Armstrong	1	2136	United States	2009
Noemi Cantele	2	55	Italy	2009
Linda Villumsen	3	58	New Zealand	2009
Judith Arndt	4	84	Germany	2009
Christiane Soeder	5	88	Austria	2009
Amber Neben	6	90	United States	2009
Tatiana Antoshina	7	92	Russia	2009
Tara Whitten	8	94	Canada	2009
Karin Thurig	9	98	Switzerland	2009
Jeannie Longo	10	108	France	2009
Emma Pooley	11	117	Great Britain	2009
Trixi Worrack	12	123	Germany	2009
Alexis Rhodes	13	128	Australia	2009
Jessica Phillips	14	131	United States	2009
Regina Bruins	15	135	Netherlands	2009
Diana Ziliute	16	147	Lithuania	2009
Trine Schmidt	17	148	Denmark	2009
Tatiana Guderzo	18	154	Italy	2009
Julie Beveridge	19	155	Canada	2009
Ellen van Dijk	20	164	Netherlands	2009
Vicki Whitelaw	21	179	Australia	2009
Bridie O'Donnell	22	184	Australia	2009
Wendy Houvenaghel	23	203	Great Britain	2009
Alexandra Burchenkova	24	214	Russia	2009
Eneritz Iturriaga	25	225	Spain	2009
Vilija Sereikaite	26	226	Lithuania	2009
Emilia Fahlin	27	232	Sweden	2009
Pascale Schnider	28	248	Switzerland	2009
Giuseppina Grassi	29	254	Mexico	2009
Iryna Shpylova	30	265	Ukraine	2009
Blaza Pintaric	31	268	Slovenia	2009
Veronica Leal	32	281	Mexico	2009
Olivia Dillon	33	284	Ireland	2009
Martina Ruzickova	34	291	Czech Republic	2009
Ievgeniia Vysotska	35	299	Ukraine	2009
Chanpeng Nontasin	36	376	Thailand	2009
Kathryn Bertine	37	377	Saint Kitts en Nevis	2009
Debora Galvez	38	412	Spain	2009
Chapookam Monrudee	39	424	Thailand	2009
Polona Batagelj	40	430	Slovenia	2009
Monica Ceccon	41	559	Italy	2009
