name	result	time_in_seconds	nationality	year
Tatiana Guderzo	1	12805	Italy	2009
Marianne Vos	2	19	Netherlands	2009
Noemi Cantele	3	19	Italy	2009
Kristin Armstrong	4	19	United States	2009
Diana Ziliute	5	67	Lithuania	2009
Judith Arndt	6	67	Germany	2009
Erinne Willock	7	67	Canada	2009
Nicole Brandli	8	67	Switzerland	2009
Grace Verbeke	9	67	Belgium	2009
Catherine Cheatley	10	67	New Zealand	2009
Emma Johansson	11	67	Sweden	2009
Ruth Corset	12	67	Australia	2009
Edita Pucinskaite	13	67	Lithuania	2009
Emma Pooley	14	67	Great Britain	2009
Evelyn Stevens	15	67	United States	2009
Linda Villumsen	16	182	New Zealand	2009
Paulina Brzezna	17	221	Poland	2009
Mara Abbott	18	291	United States	2009
Claudia Lichtenberg	19	351	Germany	2009
Ana Belen Garcia	20	354	Spain	2009
Andrea Bosman	21	414	Netherlands	2009
Ludivine Henrion	22	414	Belgium	2009
Chantal van den Broek-Blaak	23	414	Netherlands	2009
Julia Martisova	24	414	Russia	2009
Christel Ferrier-Bruneau	25	414	Canada	2009
Edwige Pitel	26	414	France	2009
Elizabeth Deignan	27	414	Great Britain	2009
NULL	28	414	NULL	2009
Trixi Worrack	29	414	Germany	2009
Fabiana Luperini	30	414	Italy	2009
Karine Gautard-Roussel	31	592	France	2009
Rasa Leleivyte	32	611	Lithuania	2009
Kaytee Boyd	33	611	New Zealand	2009
NULL	34	611	NULL	2009
Sophie Creux	35	611	France	2009
Monika Grzebinoga	36	611	Poland	2009
Marissa Stander	37	611	South Africa	2009
Veronica Leal	38	611	Mexico	2009
Christiane Soeder	39	611	Austria	2009
Tara Whitten	40	611	Canada	2009
Olena Oliinyk	41	611	Ukraine	2009
Regina Bruins	42	613	Netherlands	2009
Irene van den Broek	43	613	Netherlands	2009
Julie Krasniak	44	613	France	2009
Loes Gunnewijk	45	613	Netherlands	2009
Monia Baccaille	46	618	Italy	2009
Luisa Tamanini	47	618	Italy	2009
Jeannie Longo	48	729	France	2009
Oxana Kozonchuk	49	766	Russia	2009
Ievgeniia Vysotska	50	766	Ukraine	2009
Laura Lorenza Morfin	51	766	Mexico	2009
Tiffany Cromwell	52	766	Australia	2009
Alona Andruk	53	766	Ukraine	2009
Patricia Schwager	54	766	Switzerland	2009
Lieselot Decroix	55	766	Belgium	2009
Daniela Pintarelli	56	782	Austria	2009
Chapookam Monrudee	DNF	0	Thailand	2009
Maja Marukic	DNF	0	Croatia	2009
Elena Novikova	DNF	0	Russia	2009
Froydis Waerstad	DNF	0	Norway	2009
Alexis Rhodes	DNF	0	Australia	2009
Oksana Kashchyshyna	DNF	0	Ukraine	2009
Heather Logan-Sprenger	DNF	0	Canada	2009
Chanpeng Nontasin	DNF	0	Thailand	2009
Ma?gorzata Jasinska	DNF	0	Poland	2009
Siobhan Dervan	DNF	0	Ireland	2009
Sylwia Kapusta-Szyd?ak	DNF	0	Poland	2009
Marina Bodulak	DNF	0	Croatia	2009
Belen Lopez	DNF	0	Spain	2009
Viena Balen	DNF	0	Croatia	2009
Jessica Schneeberger	DNF	0	Switzerland	2009
Anna Evseeva	DNF	0	Russia	2009
Thatsani Wichana	DNF	0	Thailand	2009
Kathryn Bertine	DNF	0	Saint Kitts en Nevis	2009
Andrea Wolfer	DNF	0	Switzerland	2009
Lucy Martin	DNF	0	Great Britain	2009
Dahlina Rosyida	DNF	0	Indonesia	2009
Uenia Fernandes Souza	DNF	0	Brazil	2009
Veronica Gerez	DNF	0	Argentina	2009
Blaza Pintaric	DNF	0	Slovenia	2009
Giuseppina Grassi	DNF	0	Mexico	2009
Svetlana Stolbova	DNF	0	Russia	2009
Wilaiwan Kunlapha	DNF	0	Thailand	2009
Semra Yetis	DNF	0	Turkey	2009
Olivia Dillon	DNF	0	Ireland	2009
Ane Santesteban	DNF	0	Spain	2009
Alison Testroete	DNF	0	Canada	2009
Monica Ceccon	DNF	0	Italy	2009
Esther Sofia Santos Alves	DNF	0	Portugal	2009
Edita Unguryte	DNF	0	Lithuania	2009
Nina Ovcharenko	DNF	0	Ukraine	2009
Polona Batagelj	DNF	0	Slovenia	2009
Katie Colclough	DNF	0	Great Britain	2009
Jennifer Hohl	DNF	0	Switzerland	2009
Modesta Vzesniauskaite	DNF	0	Lithuania	2009
Emilie Aubry	DNF	0	Switzerland	2009
Ariadna Tudel	DNF	0	Andorra	2009
Joelle Numainville	DNF	0	Canada	2009
Tatiana Antoshina	DNF	0	Russia	2009
Martina Ruzickova	DNF	0	Czech Republic	2009
Emma Mackie	DNF	0	Australia	2009
Rochelle Gilmore	DNF	0	Australia	2009
Martine Bras	DNF	0	Netherlands	2009
Sigrid Corneo	DNF	0	Slovenia	2009
Rosane Kirch	DNF	0	Brazil	2009
Eneritz Iturriaga	DNF	0	Spain	2009
Giorgia Bronzini	DNF	0	Italy	2009
Anna Sanchis	DNF	0	Spain	2009
Inga Cesuliene	DNF	0	Lithuania	2009
Marta Vilajosana	DNF	0	Spain	2009
Emilia Fahlin	DNF	0	Sweden	2009
Kim Anderson-Smith	DNF	0	United States	2009
Ina-Yoko Teutenberg	DNF	0	Germany	2009
Liesbet De Vocht	DNF	0	Belgium	2009
Tina Liebig	DNF	0	Germany	2009
Nikki Brammeier	DNF	0	Great Britain	2009
Trine Schmidt	DNF	0	Denmark	2009
Sara Mustonen	DNF	0	Sweden	2009
Rachel Mercer	DNF	0	New Zealand	2009
Nicole Cooke	DNF	0	Great Britain	2009
Vicki Whitelaw	DNF	0	Australia	2009
Julie Beveridge	DNF	0	Canada	2009
Meredith Miller	DNF	0	United States	2009
Jessie Daams	DNF	0	Belgium	2009
Charlotte Becker	DNF	0	Germany	2009
Amber Neben	DNF	0	United States	2009
Marie Lindberg	DNF	0	Sweden	2009
