name	result	time_in_seconds	nationality	year
Judith Arndt	1	1946	Germany	2012
Evelyn Stevens	2	34	United States	2012
Linda Villumsen	3	41	New Zealand	2012
Emma Pooley	4	49	Great Britain	2012
Ellen van Dijk	5	54	Netherlands	2012
Ina-Yoko Teutenberg	6	94	Germany	2012
Amber Neben	7	103	United States	2012
Trixi Worrack	8	105	Germany	2012
Martina Sablikova	9	119	Czech Republic	2012
Shara Marche	10	120	Australia	2012
Anna van der Breggen	11	128	Netherlands	2012
Emma Johansson	12	133	Sweden	2012
Tatiana Antoshina	13	136	Russia	2012
Wendy Houvenaghel	14	137	Great Britain	2012
Elisa Longo Borghini	15	140	Italy	2012
Carmen Small	16	149	United States	2012
Natalia Boyarskaya	17	152	Russia	2012
Audrey Cordon-Ragot	18	167	France	2012
Edwige Pitel	19	172	France	2012
Patricia Schwager	20	173	Switzerland	2012
Joelle Numainville	21	175	Canada	2012
Rhae-Christie Shaw	22	183	Canada	2012
Martina Ritter	23	185	Austria	2012
Tjasa Rutar	24	195	Slovenia	2012
Cecilie Gotaas Johnsen	25	200	Norway	2012
Clemilda Fernandes	26	200	Brazil	2012
Eugenia Bujak	27	201	Slovenia	2012
Rossella Ratto	28	209	Italy	2012
Sari Saarelainen	29	210	Finland	2012
Serika Guluma	30	219	Colombia	2012
Anna Sanchis	31	219	Spain	2012
Olena Pavlukhina	32	225	Azerbaijan	2012
Olivia Dillon	33	227	Ireland	2012
Katazyna Sosna	34	234	Lithuania	2012
Anna Nahirna	35	236	Ukraine	2012
Jarmila Machacova	36	248	Czech Republic	2012
Martyna Klekot	37	259	Poland	2012
Veronica Leal	38	266	Mexico	2012
Aleksandra Sosenko	39	274	Lithuania	2012
Kathryn Bertine	40	275	Saint Kitts en Nevis	2012
Mia Radotic	41	307	Croatia	2012
Semra Yetis	42	490	Turkey	2012
