name	result	time_in_seconds	nationality	year
Fabian Cancellara	1	3341	Switzerland	2007
Laszlo Bodrogi	2	52	France	2007
Stef Clement	3	58	Netherlands	2007
Bert Grabsch	4	72	Germany	2007
Sebastian Lang	5	77	Germany	2007
Vladimir Gusev	6	107	Russia	2007
Jose Ivan Gutierrez	7	116	Spain	2007
Andrey Mizurov	8	123	Kazakhstan	2007
Vasil Kiryienka	9	123	Belarus	2007
Bradley Wiggins	10	131	Great Britain	2007
Dominique Cornu	11	131	Belgium	2007
David Zabriskie	12	134	United States	2007
Raivis Belohvosciks	13	140	Latvia	2007
Marco Pinotti	14	140	Italy	2007
Gustav Erik Larsson	15	150	Sweden	2007
Matti Helminen	16	152	Finland	2007
Andrei Kunitski	17	158	Belarus	2007
David Millar	18	160	Great Britain	2007
Vincenzo Nibali	19	162	Italy	2007
Jason McCartney	20	163	United States	2007
Vladimir Karpets	21	168	Russia	2007
Andrey Grivko	22	178	Ukraine	2007
Jurgen Van den Broeck	23	183	Belgium	2007
Ryder Hesjedal	24	188	Canada	2007
NULL	25	201	NULL	2007
Martin Gerardo Garrido	26	203	Argentina	2007
Brian Bach Vandborg	27	206	Denmark	2007
Dimitri Champion	28	219	France	2007
Benjamin Day	29	226	Australia	2007
Svein Tuft	30	226	Canada	2007
Cameron Wurf	31	229	Australia	2007
David McCann	32	229	Ireland	2007
Matias Medici	33	230	Argentina	2007
Benoit Vaugrenard	34	240	France	2007
Joost Posthuma	35	241	Netherlands	2007
Lars Ytting Bak	36	244	Denmark	2007
Eugen Wacker	37	249	Kyrgyzstan	2007
Adam Hansen	38	251	Australia	2007
Glen Alan Chadwick	39	253	New Zealand	2007
Haijun Ma	40	270	China	2007
Hossein Askari	41	273	Iran	2007
Victor Hugo Pena	42	282	Colombia	2007
Jose Rodolfo Serpa	43	289	Colombia	2007
James Lewis Perry	44	293	South Africa	2007
Michael Schar	45	306	Switzerland	2007
Luis Leon Sanchez	46	307	Spain	2007
Simon Zahner	47	309	Switzerland	2007
Fumiyuki Beppu	48	310	Japan	2007
Gordon McCauley	49	311	New Zealand	2007
Frantisek Rabon	50	315	Czech Republic	2007
Knut Anders Fostervold	51	317	Norway	2007
Maciej Bodnar	52	324	Poland	2007
Stanislav Kozubek	53	325	Czech Republic	2007
?ukasz Bodnar	54	326	Poland	2007
Rupert Probst	55	343	Austria	2007
Gregor Gazvoda	56	343	Slovenia	2007
Ricardo Manuel Rodrigues Martins	57	352	Portugal	2007
David George	58	361	South Africa	2007
Jarmo Rissanen	59	391	Finland	2007
Evgeni Gerganov	60	397	Bulgaria	2007
Vladimir Tuychiev	61	398	Uzbekistan	2007
Dan Craven	62	399	Namibia	2007
Kristjan Fajt	63	436	Slovenia	2007
Erik Hoffmann	64	442	Namibia	2007
Baoqing Song	65	449	China	2007
Igor Pugaci	66	515	Moldova	2007
Zoltan Madaras	67	553	Hungary	2007
Muradjan Halmuratov	68	562	Uzbekistan	2007
Dragan Spasic	69	586	Serbia	2007
