name	result	time_in_seconds	nationality	year
Hanka Kupfernagel	1	2083	Germany	2007
Kristin Armstrong	2	24	United States	2007
Christiane Soeder	3	42	Austria	2007
Amber Neben	4	63	United States	2007
Christine Thornburn	5	71	United States	2007
Priska Doppmann	6	82	Switzerland	2007
Jeannie Longo	7	82	France	2007
Emma Pooley	8	93	Great Britain	2007
Karin Thurig	9	96	Switzerland	2007
Meifang Li	10	98	China	2007
Mirjam Melchers	11	110	Netherlands	2007
Zulfiya Zabirova	12	111	Kazakhstan	2007
Susanne Ljungskog	13	116	Sweden	2007
Tereza Hurikova	14	116	Czech Republic	2007
Anne Samplonius	15	123	Canada	2007
Martina Ruzickova	16	129	Czech Republic	2007
Ellen van Dijk	17	134	Netherlands	2007
Charlotte Becker	18	135	Germany	2007
Maryline Salvetat	19	141	France	2007
Alison Powers	20	142	United States	2007
Oenone Wood	21	143	Australia	2007
Edita Pucinskaite	22	146	Lithuania	2007
Sara Carrigan	23	150	Australia	2007
Maria Isabel Moreno	24	156	Spain	2007
Wendy Houvenaghel	25	160	Great Britain	2007
Emma Johansson	26	162	Sweden	2007
Trine Schmidt	27	172	Denmark	2007
An Van Rie	28	180	Belgium	2007
Svetlana Stolbova	29	184	Russia	2007
Ana Paola Madrinan	30	192	Colombia	2007
Alex Wrubleski	31	194	Canada	2007
Anna Zugno	32	197	Italy	2007
Lesya Kalitovska	33	198	Ukraine	2007
Marta Vilajosana	34	199	Spain	2007
Anita Valen	35	200	Norway	2007
Silvia Valsecchi	36	205	Italy	2007
Tatiana Antoshina	37	219	Russia	2007
Rasa Polikeviciute	38	237	Lithuania	2007
Giuseppina Grassi	39	244	Mexico	2007
Min Hye Lee	40	246	South Korea	2007
Svitlana Galyuk	41	251	Ukraine	2007
Yong Li Liu	42	271	China	2007
Chanpeng Nontasin	43	277	Thailand	2007
Lang Meng	44	304	China	2007
Elissavet Chantzi	45	305	Greece	2007
Aurelie Halbwachs	46	346	Mauritius	2007
Chapookam Monrudee	47	358	Thailand	2007
Evelyn Garcia	48	368	El Salvador	2007
Lyubov Dombitskaya	49	449	Kazakhstan	2007
