name	result	time_in_seconds	nationality	year
Regina Schleicher	1	11332	Germany	2005
Nicole Cooke	2	0	Great Britain	2005
Oenone Wood	3	0	Australia	2005
Dorte Lohse Rasmussen	4	0	Denmark	2005
Chantal Beltman	5	0	Netherlands	2005
Giorgia Bronzini	6	0	Italy	2005
Susanne Ljungskog	7	0	Sweden	2005
Anita Valen	8	0	Norway	2005
Jolanta Polikeviciute	9	0	Lithuania	2005
Trixi Worrack	10	0	Germany	2005
Diana Ziliute	11	0	Lithuania	2005
Priska Doppmann	12	0	Switzerland	2005
Mirjam Melchers	13	0	Netherlands	2005
Susan Palmer-Komar	14	0	Canada	2005
Mette Fischer	15	0	Denmark	2005
Edita Pucinskaite	16	0	Lithuania	2005
Kristin Armstrong	17	0	United States	2005
Christine Thornburn	18	0	United States	2005
Nicole Brandli	19	0	Switzerland	2005
Dori Ruano	20	0	Spain	2005
Erinne Willock	21	0	Canada	2005
Ma?gorzata Jasinska	22	0	Poland	2005
Joane Somarriba	23	0	Spain	2005
Marissa Stander	24	0	South Africa	2005
Edwige Pitel	25	0	France	2005
Magali Le Floc'h	26	0	France	2005
Sofie Goor	27	0	Belgium	2005
Modesta Vzesniauskaite	28	0	Lithuania	2005
Olivia Gollan	29	6	Australia	2005
Zulfiya Zabirova	30	6	Kazakhstan	2005
Alison Sydor	31	6	Canada	2005
Rachel Hedderman	32	6	Great Britain	2005
Amber Neben	33	6	United States	2005
Tatiana Guderzo	34	13	Italy	2005
Judith Arndt	35	39	Germany	2005
Theresa Senff	36	58	Germany	2005
Olga Slyusareva	37	74	Russia	2005
Tina Mayolo-Pic	38	74	United States	2005
Sara Carrigan	39	74	Australia	2005
Loes Gunnewijk	40	74	Netherlands	2005
Linda Villumsen	41	74	New Zealand	2005
Christiane Soeder	42	74	Austria	2005
Natalie Bates	43	77	Australia	2005
Lise Horslund Christensen	44	77	Denmark	2005
Volha Hayeva	45	77	Belarus	2005
An Van Rie	46	77	Belgium	2005
Olga Zabelinskaya	47	77	Uzbekistan	2005
Anna Zugno	48	77	Italy	2005
Zita Urbonaite	49	77	Lithuania	2005
Luise Keller	50	77	Germany	2005
Noemi Cantele	51	80	Italy	2005
Bogumi?a Matusiak	52	131	Poland	2005
Kori Kelley-Seehafer	53	131	United States	2005
Ludivine Henrion	54	131	Belgium	2005
Grete Treier	55	146	Estonia	2005
Svetlana Stolbova	56	146	Russia	2005
Elodie Touffet	57	146	French Polynesia	2005
Monika Krawczyk	58	146	Poland	2005
Michelle Hyland	59	146	New Zealand	2005
Miho Oki	60	146	Japan	2005
Eneritz Iturriaga	61	146	Spain	2005
Giuseppina Grassi	62	146	Mexico	2005
Cindy Pieters	63	146	Belgium	2005
Joanne Kiesanowski	64	146	New Zealand	2005
Sophie Creux	65	146	France	2005
Katheryn Curi-Mattis	66	146	United States	2005
Katherine Bates	67	146	Australia	2005
Suzanne de Goede	68	146	Netherlands	2005
Marina Jaunatre	69	146	France	2005
Toni Bradshaw	70	146	New Zealand	2005
Maria Isabel Moreno	71	146	Spain	2005
Karin Thurig	72	146	Switzerland	2005
Charlotte Goldsmith	73	240	Great Britain	2005
Julia Martisova	74	478	Russia	2005
Audrey Lemieux	75	586	Canada	2005
Nina Ovcharenko	76	586	Ukraine	2005
Chrissie VILJOEN	77	663	South Africa	2005
Svitlana Semchouk	78	769	Ukraine	2005
Helen Kelly	79	783	Australia	2005
Alessandra D'Ettorre	80	783	Italy	2005
Gessica Turato	81	783	Italy	2005
Lene Byberg	82	783	Norway	2005
Adrie Visser	83	783	Netherlands	2005
Laure Werner	84	783	Belgium	2005
Luisa Tamanini	85	783	Italy	2005
Arenda Grimberg	86	783	Netherlands	2005
Clemilda Fernandes	87	783	Brazil	2005
Marta Vilajosana	88	783	Spain	2005
Andrea Graus	89	783	Austria	2005
Anna Skawinska	90	783	Poland	2005
Helen Wyman	91	783	Great Britain	2005
Pavla Havlikova	92	783	Czech Republic	2005
Amy Moore	93	783	Canada	2005
Maja Wloszczowska	94	783	Poland	2005
Magalie Finot-Laivier	95	783	France	2005
Melissa Holt	96	783	New Zealand	2005
Johanna Buick	97	783	New Zealand	2005
Laura Van Gilder	98	783	United States	2005
Madeleine Sandig	99	783	Germany	2005
Emma Johansson	100	783	Sweden	2005
Maja Adamsen	101	783	Denmark	2005
Sarah Grab	102	822	Switzerland	2005
Janildes Fernandes Silva	103	822	Brazil	2005
Felicia Gomez	104	822	Canada	2005
Paulina Brzezna	105	822	Poland	2005
Miyoko Karami	106	1180	Japan	2005
Anna Evseeva	107	1180	Russia	2005
Veronika Sharametsyeva	DNF	0	Belarus	2005
Katleen Vermeiren	DNF	0	Belgium	2005
Tamara Boyd	DNF	0	New Zealand	2005
Kateryna Krasova	DNF	0	Ukraine	2005
Emma Pooley	DNF	0	Great Britain	2005
Bettina KUHN	DNF	0	Switzerland	2005
Veronica Leal	DNF	0	Mexico	2005
Iryna Shpylova	DNF	0	Ukraine	2005
Uenia Fernandes Souza	DNF	0	Brazil	2005
Agnes Kay Eppers	DNF	0	Bolivia	2005
