name	result	time_in_seconds	nationality	year
Karin Thurig	1	1731	Switzerland	2005
Joane Somarriba	2	5	Spain	2005
Kristin Armstrong	3	39	United States	2005
Judith Arndt	4	56	Germany	2005
Amber Neben	5	57	United States	2005
Zulfiya Zabirova	6	61	Kazakhstan	2005
Mirjam Melchers	7	62	Netherlands	2005
Christine Thornburn	8	73	United States	2005
Svetlana Stolbova	9	98	Russia	2005
Edita Pucinskaite	10	101	Lithuania	2005
Christiane Soeder	11	105	Austria	2005
Edwige Pitel	12	115	France	2005
Priska Doppmann	13	117	Switzerland	2005
Oenone Wood	14	120	Australia	2005
Nicole Brandli	15	129	Switzerland	2005
Tatiana Guderzo	16	132	Italy	2005
Susanne Ljungskog	17	133	Sweden	2005
Madeleine Sandig	18	136	Germany	2005
Susan Palmer-Komar	19	148	Canada	2005
Dori Ruano	20	151	Spain	2005
Sara Carrigan	21	156	Australia	2005
Anna Zugno	22	157	Italy	2005
Olga Slyusareva	23	159	Russia	2005
Bogumi?a Matusiak	24	160	Poland	2005
Marina Jaunatre	25	166	France	2005
Melissa Holt	26	186	New Zealand	2005
Trine Hansen	27	190	Denmark	2005
Felicia Gomez	28	191	Canada	2005
Linda Villumsen	29	191	New Zealand	2005
Natasha Maes	30	197	Belgium	2005
Kateryna Krasova	31	228	Ukraine	2005
Grete Treier	32	236	Estonia	2005
Iryna Shpylova	33	269	Ukraine	2005
Daiva Ragazinskiene	34	284	Lithuania	2005
Bernadette Schober	35	299	Austria	2005
Trixi Worrack	36	315	Germany	2005
Agnes Kay Eppers	37	346	Bolivia	2005
Anna Skawinska	38	353	Poland	2005
