name	result	time_in_seconds	nationality	year
Laurent Jalabert	1	3121	France	1997
Serhiy Honchar	2	3	Ukraine	1997
Chris Boardman	3	20	Great Britain	1997
Tony Rominger	4	24	Switzerland	1997
Uwe Peschel	5	44	Germany	1997
Melchor Mauri	6	46	Spain	1997
Erik Breukink	7	87	Netherlands	1997
Jonathan Hall	8	105	Australia	1997
Zenon Jasku?a	9	124	Poland	1997
Juan Carlos Dominguez	10	134	Spain	1997
Alex Zulle	11	135	Switzerland	1997
Michael Andersson	12	138	Sweden	1997
Dario Andriotto	13	140	Italy	1997
Roland Meier	14	143	Switzerland	1997
Jonathan Vaughters	15	166	United States	1997
Henk Vogels	16	201	Australia	1997
Lauri Aus	17	213	Estonia	1997
Cristian Salvato	18	215	Italy	1997
Eddy Seigneur	19	216	France	1997
David Millar	20	230	Great Britain	1997
Vladimir Pulnikov	21	230	Ukraine	1997
Evgeni Berzin	22	239	Russia	1997
Servais Knaven	23	243	Netherlands	1997
Jan Karlsson	24	271	Sweden	1997
Remigius Lupeikis	25	277	Lithuania	1997
Dainis Ozols	26	279	Latvia	1997
Ruslan Ivanov	27	282	Moldova	1997
Joaquim Adrego Pereira Andrade	28	284	Portugal	1997
Eric Wohlberg	29	298	Canada	1997
Jan Hruska	30	300	Czech Republic	1997
Piotr Chmielewski	31	301	Poland	1997
Andreas Walzer	32	307	Germany	1997
Victor Hugo Pena	33	313	Colombia	1997
Marc Streel	34	313	Belgium	1997
Sasa Sviben	35	344	Slovenia	1997
Michael Sandstød	36	361	Denmark	1997
Dietmar Muller	37	375	Austria	1997
Robert Pintaric	38	402	Slovenia	1997
Tyler Hamilton	39	408	United States	1997
Bernhard Gugganig	40	411	Austria	1997
Igor Bonciucov	41	427	Moldova	1997
Miroslav Liptak	42	430	Slovakia	1997
Milan Dvorscik	43	479	Slovakia	1997
Hernandes Quadri	44	492	Brazil	1997
Jorge Giacinti	45	523	Argentina	1997
Benjamin Loberant	46	567	Israel	1997
Dragomir Zivkovic	47	787	Yugoslavia	1997
