name	result	time_in_seconds	nationality	year
Ellen van Dijk	1	2669	Netherlands	2022
Grace Brown	2	12	Australia	2022
Marlen Reusser	3	41	Switzerland	2022
Vittoria Guazzini	4	52	Italy	2022
Leah Thomas	5	78	United States	2022
Kristen Faulkner	6	85	United States	2022
Annemiek van Vleuten	7	103	Netherlands	2022
Georgia Baker	8	106	Australia	2022
Lotte Kopecky	9	110	Belgium	2022
Anna Kiesenhofer	10	116	Austria	2022
Juliette Labous	11	124	France	2022
Mieke Kroger	12	148	Germany	2022
Shirin van Anrooij	13	160	Netherlands	2022
Emma Norsgaard	14	168	Denmark	2022
Julie Leth	15	173	Denmark	2022
Ashleigh Moolman	16	180	South Africa	2022
Leah Kirchmann	17	184	Canada	2022
Ricarda Bauernfeind	18	189	Germany	2022
Olga Zabelinskaya	19	211	Uzbekistan	2022
Marie Le Net	20	215	France	2022
Marta Jaskulska	21	220	Poland	2022
Julie Van de Velde	22	221	Belgium	2022
Arianna Fidanza	23	221	Italy	2022
Omer Shapira	24	241	Israel	2022
Agnieszka Skalniak-Sojka	25	256	Poland	2022
Elena Hartmann	26	301	Switzerland	2022
Alison Jackson	27	301	Canada	2022
Urska Zigart	28	312	Slovenia	2022
Ella Wyllie	29	328	New Zealand	2022
Lina Marcela Hernandez	30	331	Colombia	2022
Sandra Alonso	31	379	Spain	2022
Lourdes Oyarbide	32	382	Spain	2022
Maude Le Roux	33	442	South Africa	2022
Wing Yee Leung	34	446	Hongkong	2022
Nora Jencusova	35	462	Slovakia	2022
Luciana Roland	36	511	Argentina	2022
Maryna Varenyk	37	542	Ukraine	2022
Nesrine Houili	38	615	Algeria	2022
Safia al Sayegh	39	826	United Arab Emirates	2022
Rabia Garib	40	1296	Pakistan	2022
Zainab Rizwan	41	1381	Pakistan	2022
Catalina Anais Soto	DNF	0	Chile	2022
Christina Schweinberger	DNS	0	Austria	2022
Vittoria Guazzini	1	2721	Italy	2022
Shirin van Anrooij	2	108	Netherlands	2022
Ricarda Bauernfeind	3	137	Germany	2022
Marie Le Net	4	163	France	2022
Marta Jaskulska	5	168	Poland	2022
Ella Wyllie	6	276	New Zealand	2022
Nora Jencusova	7	410	Slovakia	2022
Maryna Varenyk	8	490	Ukraine	2022
Nesrine Houili	9	563	Algeria	2022
Safia al Sayegh	10	774	United Arab Emirates	2022
