name	result	time_in_seconds	nationality	year
Oscar Freire	1	22769	Spain	1999
Markus Zberg	2	4	Switzerland	1999
Jean-Cyril Robin	3	4	France	1999
Francesco Casagrande	4	4	Italy	1999
William Chann McRae	5	4	United States	1999
Oscar Camenzind	6	4	Switzerland	1999
NULL	7	4	NULL	1999
Jan Ullrich	8	4	Germany	1999
Dmitri Konychev	9	4	Russia	1999
Daniele Nardello	10	59	Italy	1999
Andrea Tafi	11	59	Italy	1999
Johan Museeuw	12	59	Belgium	1999
Rolf Sørensen	13	59	Denmark	1999
Michael Boogerd	14	59	Netherlands	1999
Marco Serpellini	15	68	Italy	1999
Beat Zberg	16	69	Switzerland	1999
Piotr Wadecki	17	69	Poland	1999
Pavel Tonkov	18	69	Russia	1999
Maarten den Bakker	19	69	Netherlands	1999
Pascal Richard	20	69	Switzerland	1999
Marco Velo	21	69	Italy	1999
Niki Aebersold	22	69	Switzerland	1999
Christophe Moreau	23	69	France	1999
Santiago Blanco	24	69	Spain	1999
Mirko Celestino	25	86	Italy	1999
Raimondas Rumsas	26	103	Lithuania	1999
Mauro Gianetti	27	160	Switzerland	1999
Miguel Angel Martin Perdiguero	28	256	Spain	1999
Romans Vainsteins	29	482	Latvia	1999
Gianni Faresin	30	495	Italy	1999
Zbigniew Piatek	31	495	Poland	1999
Manuel Beltran	32	495	Spain	1999
Glenn Magnusson	33	495	Sweden	1999
Laurent Brochard	34	495	France	1999
Felice Puttini	35	497	Switzerland	1999
Jose Luis Rubiera	36	498	Spain	1999
Roberto Laiseka	37	498	Spain	1999
Massimo Donati	38	498	Italy	1999
Mauro Zanetti	39	498	Italy	1999
Peter Farazijn	40	498	Belgium	1999
Andrei Tchmil	41	498	Belgium	1999
Raivis Belohvosciks	42	961	Latvia	1999
Inigo Chaurreau	43	961	Spain	1999
Nicki Sørensen	44	961	Denmark	1999
Gorazd Stangelj	45	961	Slovenia	1999
Georg Totschnig	46	961	Austria	1999
NULL	47	961	NULL	1999
Marc Lotz	48	961	Netherlands	1999
Serguei Lelekin	49	961	Russia	1999
Nathan O'Neill	DNF	0	Australia	1999
Bradley McGee	DNF	0	Australia	1999
Jonathan Hall	DNF	0	Australia	1999
Peter Rogers	DNF	0	Australia	1999
David McKenzie	DNF	0	Australia	1999
Tom Leaper	DNF	0	Australia	1999
Scott Sunderland	DNF	0	Australia	1999
Nick Gates	DNF	0	Australia	1999
Svein Gaute Hølestøl	DNF	0	Norway	1999
Steffen Kjærgaard	DNF	0	Norway	1999
Bjørnar Vestøl	DNF	0	Norway	1999
Danny Jonasson	DNF	0	Denmark	1999
Mikael Holst Kyneb	DNF	0	Denmark	1999
Lars Michaelsen	DNF	0	Denmark	1999
Søren Petersen	DNF	0	Denmark	1999
