name	result	time_in_seconds	nationality	year
Leontien Zijlaard-van Moorsel	1	1951	Netherlands	1999
Anna Millward	2	4	Australia	1999
Edita Pucinskaite	3	31	Lithuania	1999
Zulfiya Zabirova	4	37	Kazakhstan	1999
Hanka Kupfernagel	5	49	Germany	1999
Judith Arndt	6	50	Germany	1999
Clara Hughes	7	51	Canada	1999
Diana Ziliute	8	51	Lithuania	1999
Jeannie Longo	9	54	France	1999
Kathryn Watt	10	68	Australia	1999
Marion Clignet	11	70	France	1999
Elizabeth Emery	12	78	United States	1999
Emily Robbins	13	84	United States	1999
Dori Ruano	14	87	Spain	1999
Tracey Gaudry	15	97	Australia	1999
Yvonne McGregor	16	99	Great Britain	1999
Solrun Flatas	17	100	Norway	1999
Mari Holden	18	104	United States	1999
Valentina Polkhanova	19	105	Russia	1999
Lyne Bessette	20	119	Canada	1999
Lenka Ilavska	21	119	Slovakia	1999
Antonella Bellutti	22	125	Italy	1999
Mirjam Melchers	23	126	Netherlands	1999
Tatiana Stiajkina	24	142	Ukraine	1999
Bogumi?a Matusiak	25	148	Poland	1999
Susanne Ljungskog	26	157	Sweden	1999
Jenny Algelid-Bengtsson	27	161	Sweden	1999
Anke Erlank	28	161	South Africa	1999
Chantal Beltman	29	172	Netherlands	1999
Paola Pezzo	30	211	Italy	1999
NULL	31	216	NULL	1999
Kirsty Nicole Robb	32	218	New Zealand	1999
Tatsiana Makeyeva	33	254	Belarus	1999
Miho Oki	34	257	Japan	1999
Valentina Karpenko	35	261	Ukraine	1999
Dorota Czynszak	36	298	Poland	1999
Fatma Galiulina	37	329	Uzbekistan	1999
Veronika Pare	38	348	Hungary	1999
Alena Peterkova	39	354	Czech Republic	1999
