name	result	time_in_seconds	nationality	year
Michael Rogers	1	3214	Australia	2005
Jose Ivan Gutierrez	2	23	Spain	2005
Fabian Cancellara	3	23	Switzerland	2005
Ruben Plaza	4	44	Spain	2005
Alexandre Vinokourov	5	80	Kazakhstan	2005
Andrey Kashechkin	6	89	Kazakhstan	2005
Bradley Wiggins	7	91	Great Britain	2005
Sebastian Lang	8	95	Germany	2005
Matias Medici	9	97	Argentina	2005
Victor Hugo Pena	10	101	Colombia	2005
Bobby Julich	11	105	United States	2005
Ondrej Sosenka	12	115	Czech Republic	2005
Benjamin Day	13	125	Australia	2005
Marzio Bruseghin	14	131	Italy	2005
Michael Rich	15	133	Germany	2005
Raivis Belohvosciks	16	136	Latvia	2005
Marco Pinotti	17	142	Italy	2005
Vasil Kiryienka	18	146	Belarus	2005
Janez Brajkovic	19	149	Slovenia	2005
Jan Hruska	20	157	Czech Republic	2005
Brian Bach Vandborg	21	162	Denmark	2005
Ryder Hesjedal	22	162	Canada	2005
Denis Menchov	23	165	Russia	2005
Bert Roesems	24	169	Belgium	2005
Gregor Gazvoda	25	176	Slovenia	2005
James Lewis Perry	26	178	South Africa	2005
Gustav Erik Larsson	27	180	Sweden	2005
Viatcheslav Ekimov	28	187	Russia	2005
Fumiyuki Beppu	29	192	Japan	2005
Sylvain Chavanel	30	198	France	2005
Leif Hoste	31	199	Belgium	2005
Yaroslav Popovych	32	207	Ukraine	2005
Piotr Mazur	33	217	Poland	2005
Eric Wohlberg	34	220	Canada	2005
Thomas Dekker	35	224	Netherlands	2005
David George	36	226	South Africa	2005
Joost Posthuma	37	228	Netherlands	2005
David O'Loughlin	38	232	Ireland	2005
Michael Blaudzun	39	235	Denmark	2005
Andrey Grivko	40	240	Ukraine	2005
?ukasz Bodnar	41	289	Poland	2005
Juan Carlos Lopez	42	294	Colombia	2005
Linas Balciunas	43	298	Lithuania	2005
Christophe Moreau	44	307	France	2005
Csaba Szekeres	45	313	Hungary	2005
Thomas Lofkvist	46	340	Sweden	2005
Denis Shkarpeta	47	349	Uzbekistan	2005
Tommi Martikainen	48	433	Finland	2005
