name	result	time_in_seconds	nationality	year
Abraham Olano	1	25795	Spain	1995
Miguel Indurain	2	35	Spain	1995
Marco Pantani	3	35	Italy	1995
Mauro Gianetti	4	35	Switzerland	1995
Pascal Richard	5	53	Switzerland	1995
Richard Virenque	6	91	France	1995
Dmitri Konychev	7	113	Russia	1995
Oliverio Rincon	8	113	Colombia	1995
Rolf Sørensen	9	113	Denmark	1995
Felice Puttini	10	113	Switzerland	1995
Israel Antonio Ochoa	11	188	Colombia	1995
Francesco Casagrande	12	229	Italy	1995
Jose Maria Jimenez	13	419	Spain	1995
Fernando Escartin	14	532	Spain	1995
Jose Jaime Gonzalez	15	562	Colombia	1995
Oscar Pellicioli	16	795	Italy	1995
Paolo Lanfranchi	17	795	Italy	1995
Zenon Jasku?a	18	924	Poland	1995
Miguel Arroyo	19	2275	Mexico	1995
Andrew Hampsten	20	2275	United States	1995
Nelson Rodriguez	DNF	0	Colombia	1995
Oscar de Jesus Vargas	DNF	0	Colombia	1995
Henry Cardenas	DNF	0	Colombia	1995
Juan Diego Ramirez	DNF	0	Colombia	1995
Libardo Nino	DNF	0	Colombia	1995
Celio Roberto Roncancio	DNF	0	Colombia	1995
Luis Alberto Camargo	DNF	0	Colombia	1995
Alvaro Lozano	DNF	0	Colombia	1995
Efrain Rico	DNF	0	Colombia	1995
Michael Blaudzun	DNF	0	Denmark	1995
Brian Holm Sørensen	DNF	0	Denmark	1995
Claus Michael Møller	DNF	0	Denmark	1995
Thomas Fleischer	DNF	0	Germany	1995
Jens Zemke	DNF	0	Germany	1995
Udo Bolts	DNF	0	Germany	1995
Rolf Aldag	DNF	0	Germany	1995
Chris Lillywhite	DNF	0	Great Britain	1995
Maximilian Sciandri	DNF	0	Great Britain	1995
Bobby Julich	DNF	0	United States	1995
Steve Hegg	DNF	0	United States	1995
Darren Baker	DNF	0	United States	1995
Clark Sheehan	DNF	0	United States	1995
Mike Engleman	DNF	0	United States	1995
Bart Bowen	DNF	0	United States	1995
Rolf Jarmann	DNF	0	Switzerland	1995
Douglas Ryder	DNF	0	South Africa	1995
Omar Pumar	DNF	0	Venezuela	1995
Leonardo Sierra	DNF	0	Venezuela	1995
Carlos Alberto Maya	DNF	0	Venezuela	1995
Masahiko Mifune	DNF	0	Japan	1995
Takahiro Yamada	DNF	0	Japan	1995
Masatoshi Ichikawa	DNF	0	Japan	1995
Kyoshi Miura	DNF	0	Japan	1995
Ken Hashikawa	DNF	0	Japan	1995
Daisuke Imanaka	DNF	0	Japan	1995
Cassio Freitas	DNF	0	Brazil	1995
Zbigniew Spruch	DNF	0	Poland	1995
Marcos Antonio Serrano	DNF	0	Spain	1995
David Garcia	DNF	0	Spain	1995
Marino Alonso	DNF	0	Spain	1995
Francisco Javier Mauleon	DNF	0	Spain	1995
Aitor Garmendia	DNF	0	Spain	1995
Jose Ramon Gonzalez Arrieta	DNF	0	Spain	1995
Manuel Fernandez Gines	DNF	0	Spain	1995
Santiago Blanco	DNF	0	Spain	1995
Ivan Gotti	DNF	0	Italy	1995
Claudio Chiappucci	DNF	0	Italy	1995
Gianni Bugno	DNF	0	Italy	1995
Stefano Colage	DNF	0	Italy	1995
Davide Cassani	DNF	0	Italy	1995
Gianni Faresin	DNF	0	Italy	1995
Alberto Elli	DNF	0	Italy	1995
Leonardo Piepoli	DNF	0	Italy	1995
Gerard Rue	DNF	0	France	1995
Jean-Cyril Robin	DNF	0	France	1995
Laurent Roux	DNF	0	France	1995
Laurent Brochard	DNF	0	France	1995
Bruno Thibout	DNF	0	France	1995
Yvon Ledanois	DNF	0	France	1995
Lylian Lebreton	DNF	0	France	1995
Thierry Laurent	DNF	0	France	1995
Laurent Madouas	DNF	0	France	1995
Pascal Herve	DNF	0	France	1995
Pavel Tonkov	DNF	0	Russia	1995
Erik Breukink	DNF	0	Netherlands	1995
Raymond Meijs	DNF	0	Netherlands	1995
Michael Boogerd	DNF	0	Netherlands	1995
Patrick Eyk	DNF	0	Netherlands	1995
Tom Cordes	DNF	0	Netherlands	1995
Erik Dekker	DNF	0	Netherlands	1995
Frans Maassen	DNF	0	Netherlands	1995
Geert Verheyen	DNF	0	Belgium	1995
Nico Mattan	DNF	0	Belgium	1995
Kurt van de Wouwer	DNF	0	Belgium	1995
Luc Roosen	DNF	0	Belgium	1995
Geert Van Bondt	DNF	0	Belgium	1995
Peter Verbeken	DNF	0	Belgium	1995
Everard Noel Richards	DNF	0	Jamaica	1995
Peter Meinert-Nielsen	DNS	0	Denmark	1995
Dirk Baldinger	DNS	0	Germany	1995
Eddy Bouwmans	DNS	0	Netherlands	1995
Servais Knaven	DNS	0	Netherlands	1995
Wim van de Meulenhof	DNS	0	Netherlands	1995
Marco Vermey	DNS	0	Netherlands	1995
Maarten den Bakker	DNS	0	Netherlands	1995
Wim Vansevenant	DNS	0	Belgium	1995
