name	result	time_in_seconds	nationality	year
Tony Martin	1	3936	Germany	2013
Bradley Wiggins	2	46	Great Britain	2013
Fabian Cancellara	3	48	Switzerland	2013
Vasil Kiryienka	4	86	Belarus	2013
Taylor Phinney	5	128	United States	2013
Rasmus Quaade	6	156	Denmark	2013
Marco Pinotti	7	161	Italy	2013
Adriano Malori	8	171	Italy	2013
Gustav Erik Larsson	9	178	Sweden	2013
Kanstantsin Siutsou	10	179	Belarus	2013
Jan Barta	11	187	Czech Republic	2013
Rohan Dennis	12	189	Australia	2013
Nicolas Roche	13	193	Ireland	2013
Jonathan Castroviejo	14	193	Spain	2013
Nelson Oliveira	15	194	Portugal	2013
Kristof Vandewalle	16	197	Belgium	2013
Richie Porte	17	202	Australia	2013
Vladimir Gusev	18	208	Russia	2013
Dmitriy Gruzdev	19	215	Kazakhstan	2013
Bert Grabsch	20	221	Germany	2013
Jesse Sergent	21	225	New Zealand	2013
Sylvain Chavanel	22	228	France	2013
Aleksejs Saramotins	23	236	Latvia	2013
Micha? Kwiatkowski	24	239	Poland	2013
Niki Terpstra	25	240	Netherlands	2013
Carlos Ivan Oyarzun	26	246	Chile	2013
Lieuwe Westra	27	246	Netherlands	2013
Maciej Bodnar	28	258	Poland	2013
Jeremy Roy	29	267	France	2013
Riccardo Zoidl	30	279	Austria	2013
Serghei Tvetcov	31	287	Romania	2013
Ignatas Konovalovas	32	289	Lithuania	2013
Bob Jungels	33	298	Luxembourg	2013
Nikolay Mihaylov	34	299	Bulgaria	2013
Luis Leon Sanchez	35	304	Spain	2013
Tobias Ludvigsson	36	307	Sweden	2013
Matthias Brandle	37	311	Austria	2013
Patrick Gretsch	38	314	Germany	2013
Tiago Machado	39	328	Portugal	2013
Ilnur Zakarin	40	334	Russia	2013
Alex Dowsett	41	346	Great Britain	2013
Reinardt Janse van Rensburg	42	352	South Africa	2013
Alex Rasmussen	43	356	Denmark	2013
Ioannis Tamouridis	44	359	Greece	2013
Andriy Vasylyuk	45	364	Ukraine	2013
Andrew Talansky	46	364	United States	2013
Matej Jurco	47	374	Slovakia	2013
Alexey Lutsenko	48	378	Kazakhstan	2013
Thomas De Gendt	49	385	Belgium	2013
Kristijan Koren	50	385	Slovenia	2013
Reto Hollenstein	51	385	Switzerland	2013
Rafaa Chtioui	52	390	Tunisia	2013
Gert Joeaar	53	408	Estonia	2013
Daniel Teklehaimanot	54	408	Eritrea	2013
Jay Robert Thomson	55	412	South Africa	2013
Sam Bewley	56	419	New Zealand	2013
King Lok Cheung	57	421	Hongkong	2013
Leandro Carlos Messineo	58	442	Argentina	2013
Gediminas Bagdonas	59	457	Lithuania	2013
Hyeong Min Choe	60	464	South Korea	2013
Mykhaylo Kononenko	61	466	Ukraine	2013
Muradjan Halmuratov	62	471	Uzbekistan	2013
Spas Gyurov	63	476	Bulgaria	2013
Samuel Pokala	64	490	Finland	2013
Elchin Asadov	65	501	Azerbaijan	2013
Andrei Nechita	66	510	Romania	2013
Rafael Infantino	67	554	Colombia	2013
David Albos Cavaliere	68	579	Andorra	2013
Meron Russom	69	581	Eritrea	2013
Jose Ragonessi	70	583	Ecuador	2013
Segundo Navarrete	71	591	Ecuador	2013
Eugert Zhupa	72	594	Albania	2013
Jiyong Kang	73	659	South Korea	2013
Uri Martins	74	704	Mexico	2013
Ahmed Albourdainy	75	731	Qatar	2013
Gustavo Adolfo Mino	76	912	Paraguay	2013
Nazir Jaser	77	914	Syria	2013
