name	result	time_in_seconds	nationality	year
Barbara Heeb	1	10385	Switzerland	1996
Rasa Polikeviciute	2	0	Lithuania	1996
Linda Jackson	3	0	Canada	1996
Laura Charameda	4	0	United States	1996
Jolanta Polikeviciute	5	0	Lithuania	1996
Alessandra Cappellotto	6	0	Italy	1996
Jeannie Longo	7	0	France	1996
Edita Pucinskaite	8	0	Lithuania	1996
Aleksandra Koliaseva	9	0	Russia	1996
Catherine Marsal	10	0	France	1996
Zulfiya Zabirova	11	0	Kazakhstan	1996
Hanka Kupfernagel	12	0	Germany	1996
Sigrid Corneo	13	0	Slovenia	1996
Yvonne Schnorf	14	0	Switzerland	1996
Heidi Van De Vijver	15	0	Belgium	1996
Valeria Cappellotto	16	0	Italy	1996
Diana Rast	17	0	Switzerland	1996
Lenka Ilavska	18	0	Slovakia	1996
Kerstin Scheitle	19	0	Germany	1996
Marcia Eicher-Vouets	20	0	Switzerland	1996
Elisabeth Chevanne-Brunel	21	0	France	1996
Leigh Hobson	22	0	Canada	1996
Roberta Bonanomi	23	0	Italy	1996
Jocelyne Messori-Hugi	24	735	France	1996
Svetlana Stolbova	25	735	Russia	1996
Natalja Boubentchikova	26	735	Russia	1996
Sophie Swaertvaeger	27	735	France	1996
Fatima Blazquez	28	986	Spain	1996
Imelda Chiappa	29	986	Italy	1996
Clara Hughes	30	986	Canada	1996
Tanja Hennes	31	1085	Germany	1996
Edith Moerenhout-Klep	32	1085	Netherlands	1996
Tanja Klein	33	1085	Austria	1996
Pamela Schuster	34	1085	United States	1996
Karen Kurreck	35	1085	United States	1996
Ragnhild Kostøl Haug	36	1085	Norway	1996
Daniela Vogel	37	1155	Switzerland	1996
Yvonne McGregor	38	1155	Great Britain	1996
Caroline Alexander	39	1155	Great Britain	1996
Natalya Kishchuk	40	1155	Ukraine	1996
Ana Martinez	41	1155	Spain	1996
Ana Burgos	42	1155	Spain	1996
Ingunn Bollerud	43	1155	Norway	1996
Nuria Florencio Cabre	44	1155	Spain	1996
Brigitte Krebs	45	1375	Austria	1996
Julie Pekarkova	46	1375	Czech Republic	1996
Cindy Pieters	47	1375	Belgium	1996
Bogumi?a Matusiak	48	1390	Poland	1996
Mari Holden	49	1390	United States	1996
Jenny Derham	50	1390	Great Britain	1996
Marie-Jose Chaleat	51	1390	France	1996
Rosa Maria Bravo	52	1570	Spain	1996
Tatiana Kaverina	53	1605	Russia	1996
Daniela Veronesi	54	1605	San Marino	1996
Susanne Plambeck	55	1630	Germany	1996
Vera Hohlfeld	56	1630	Germany	1996
Miluse Flaskova Glave	57	1630	Czech Republic	1996
Gulnara Fatkoulina	58	1630	Russia	1996
Anriette Schoeman	59	1630	South Africa	1996
Jenny Algelid-Bengtsson	60	1630	Sweden	1996
Maria Heim	61	1630	Switzerland	1996
Tea Vikstedt-Nyman	62	1630	Finland	1996
Zita Urbonaite	63	1630	Lithuania	1996
Erica Green	64	1630	South Africa	1996
Angela Hillenga	65	1630	Netherlands	1996
Anne Samplonius	66	1630	Canada	1996
Sandra Rombouts	67	1630	Netherlands	1996
Anke Erlank	68	1630	South Africa	1996
Annie Gariepy	69	1630	Canada	1996
Megan Hughes	70	1630	Great Britain	1996
Maria Lawrence	71	1630	Great Britain	1996
Natalia Rasina	72	1630	Ukraine	1996
Valentina Karpenko	73	2051	Ukraine	1996
