name	result	time_in_seconds	nationality	year
Serhiy Honchar	1	3381	Ukraine	2000
Michael Rich	2	10	Germany	2000
Laszlo Bodrogi	3	24	France	2000
Chris Boardman	4	76	Great Britain	2000
Abraham Olano	5	88	Spain	2000
Dario Frigo	6	119	Italy	2000
Jens Voigt	7	119	Germany	2000
Sergiy Matveyev	8	125	Ukraine	2000
Andrei Teteriouk	9	126	Kazakhstan	2000
Marco Pinotti	10	135	Italy	2000
Jean Nuttli	11	158	Switzerland	2000
Raivis Belohvosciks	12	158	Latvia	2000
Rik Verbrugghe	13	181	Belgium	2000
Ondrej Sosenka	14	199	Czech Republic	2000
Robert Hunter	15	214	South Africa	2000
Ruslan Ivanov	16	219	Moldova	2000
Christophe Moreau	17	220	France	2000
Martin Gerardo Garrido	18	221	Argentina	2000
Martin Cotar	19	222	Croatia	2000
Oleg Zhukov	20	224	Russia	2000
Piotr Chmielewski	21	227	Poland	2000
Thor Hushovd	22	248	Norway	2000
Martin Hvastija	23	251	Slovenia	2000
Tyler Hamilton	24	261	United States	2000
Stuart Dangerfield	25	270	Great Britain	2000
Andrej Hauptman	26	271	Slovenia	2000
Jukka Heinikainen	27	294	Finland	2000
Remco van der Ven	28	318	Netherlands	2000
Joaquim Adrego Pereira Andrade	29	322	Portugal	2000
Gabor Kisko	30	348	Hungary	2000
Tom Leaper	31	356	Australia	2000
Christian Poos	32	362	Luxembourg	2000
Marcel Duijn	33	373	Netherlands	2000
Patrick Calcagni	34	374	Switzerland	2000
Piotr Przydzia?	35	382	Poland	2000
Javier Gomez	36	387	Argentina	2000
Igor Bonciucov	37	388	Moldova	2000
Milan Kadlec	38	400	Czech Republic	2000
Vasilis Anastopoulos	39	405	Greece	2000
Robert Nagy	40	410	Slovakia	2000
David Kinjah	41	480	Kenya	2000
