name	result	time_in_seconds	nationality	year
Zinaida Stahurskaya	1	11859	Belarus	2000
Chantal Beltman	2	87	Netherlands	2000
Madeleine Lindberg	3	110	Sweden	2000
Susanne Ljungskog	4	110	Sweden	2000
Mirjam Melchers	5	110	Netherlands	2000
Sara Symington	6	110	Great Britain	2000
Dede Demet-Barry	7	110	United States	2000
Wenche Stensvold	8	110	Norway	2000
Elisabeth Chevanne-Brunel	9	110	France	2000
Tatiana Stiajkina	10	110	Ukraine	2000
Susan Palmer-Komar	11	110	Canada	2000
Edita Pucinskaite	12	110	Lithuania	2000
Valeria Cappellotto	13	110	Italy	2000
Priska Doppmann	14	110	Switzerland	2000
Oksana Saprykina	15	110	Ukraine	2000
Tracey Gaudry	16	110	Australia	2000
Simona Parente	17	110	Italy	2000
Caroline Alexander	18	110	Great Britain	2000
Catherine Marsal	19	110	France	2000
Severine Desbouys	20	110	France	2000
Elisabeth Tadich	21	185	Australia	2000
Margaret Hemsley	22	215	Australia	2000
Anna Skawinska	23	304	Poland	2000
Valentina Karpenko	24	304	Ukraine	2000
Alessandra D'Ettorre	25	304	Italy	2000
Arenda Grimberg	26	304	Netherlands	2000
Iryna Chuzhynova	27	304	Ukraine	2000
Solrun Flatas	28	304	Norway	2000
Jorunn Kvalø	29	304	Norway	2000
Judith Arndt	30	304	Germany	2000
Trixi Worrack	31	304	Germany	2000
Evy Van Damme	32	304	Belgium	2000
Roberta Bonanomi	33	306	Italy	2000
Sara Felloni	34	306	Italy	2000
Bettina Schoke	35	306	Germany	2000
Rosa Maria Bravo	36	541	Spain	2000
Ghita Beltman	37	541	Netherlands	2000
Anne Samplonius	38	541	Canada	2000
Sara Carrigan	39	635	Australia	2000
Ingunn Bollerud	40	635	Norway	2000
Julia Martisova	41	635	Russia	2000
Miho Oki	42	635	Japan	2000
Veerle Ingels	43	636	Belgium	2000
Edita Kubelskiene	44	636	Lithuania	2000
Ragnhild Kostøl Haug	45	637	Norway	2000
Erin Carter	46	867	Canada	2000
Monika Tyburska	47	1097	Poland	2000
Susan Carter	48	1097	Great Britain	2000
Natalya Kachalka	49	1105	Ukraine	2000
Zlatica Gavlakova	50	1105	Slovakia	2000
Yvonne Troost-Brunen	51	1105	Netherlands	2000
Janildes Fernandes Silva	52	1346	Brazil	2000
Hayley Rutherford	53	1346	Australia	2000
Yulia Razenkova	54	1346	Russia	2000
Ronel Van Wyk	55	1346	South Africa	2000
Melanie Sears	56	1346	Great Britain	2000
Cybil Di Guistini	57	1346	Canada	2000
Beata Jasinska	58	1346	Poland	2000
Ayumu Otsuka	59	1346	Japan	2000
Melanie Mcquaid	60	1346	Canada	2000
