name	result	time_in_seconds	nationality	year
Mari Holden	1	1994	United States	2000
Jeannie Longo	2	3	France	2000
Rasa Polikeviciute	3	46	Lithuania	2000
Solrun Flatas	4	54	Norway	2000
Ceris Gilfillian	5	57	Great Britain	2000
Hanka Kupfernagel	6	59	Germany	2000
Albine Caillie	7	76	France	2000
Zinaida Stahurskaya	8	88	Belarus	2000
Judith Arndt	9	98	Germany	2000
Marielle van Scheppingen	10	110	Netherlands	2000
Tracey Gaudry	11	116	Australia	2000
Anne Samplonius	12	117	Canada	2000
Sara Carrigan	13	119	Australia	2000
Gabriella Pregnolato	14	120	Italy	2000
Susanne Ljungskog	15	124	Sweden	2000
Ruth Martinez	16	131	Spain	2000
Wenche Stensvold	17	132	Norway	2000
Bogumi?a Matusiak	18	138	Poland	2000
Sara Symington	19	145	Great Britain	2000
Nicole Brandli	20	153	Switzerland	2000
Dede Demet-Barry	21	156	United States	2000
Monika Tyburska	22	161	Poland	2000
Diana Rast	23	161	Switzerland	2000
Lisbeth Simper	24	196	Denmark	2000
Luisa Tamanini	25	200	Italy	2000
Geraldine Gill	26	223	Ireland	2000
Agnes Kay Eppers	27	394	Bolivia	2000
Fatma Galiulina	28	411	Uzbekistan	2000
