name	result	time_in_seconds	nationality	year
Romans Vainsteins	1	22528	Latvia	2000
Zbigniew Spruch	2	0	Poland	2000
Oscar Freire	3	0	Spain	2000
Michele Bartoli	4	0	Italy	2000
Tobias Steinhauser	5	0	Germany	2000
Niki Aebersold	6	0	Switzerland	2000
Scott Sunderland	7	0	Australia	2000
William Chann McRae	8	0	United States	2000
Paolo Bettini	9	0	Italy	2000
Francesco Casagrande	10	0	Italy	2000
Michael Boogerd	11	0	Netherlands	2000
Axel Merckx	12	0	Belgium	2000
Gorazd Stangelj	13	0	Slovenia	2000
Niklas Axelsson	14	0	Sweden	2000
Dave Bruylandts	15	0	Belgium	2000
Oscar Camenzind	16	0	Switzerland	2000
Maximilian Sciandri	17	0	Great Britain	2000
Jean-Cyril Robin	18	0	France	2000
Andrei Tchmil	19	0	Belgium	2000
Raimondas Rumsas	20	0	Lithuania	2000
Nico Mattan	21	0	Belgium	2000
Mauro Gianetti	22	0	Switzerland	2000
Bo Hamburger	23	0	Denmark	2000
Chris Peers	24	0	Belgium	2000
Davide Rebellin	25	2	Italy	2000
Stephane Heulot	26	52	France	2000
Beat Zberg	27	52	Switzerland	2000
Gianni Faresin	28	52	Italy	2000
Jose Luis Rubiera	29	53	Spain	2000
Manuel Beltran	30	53	Spain	2000
Gilberto Simoni	31	53	Italy	2000
Richard Virenque	32	53	France	2000
Francisco Javier Cerezo	33	81	Spain	2000
Piotr Wadecki	34	197	Poland	2000
Sergei Ivanov	35	197	Russia	2000
Rolf Aldag	36	197	Germany	2000
Miguel Angel Martin Perdiguero	37	197	Spain	2000
Andrej Hauptman	38	197	Slovenia	2000
Luca Scinto	39	197	Italy	2000
Jochen Summer	40	197	Austria	2000
Nicki Sørensen	41	197	Denmark	2000
Marc Wauters	42	197	Belgium	2000
NULL	43	197	NULL	2000
Fabian Jeker	44	197	Switzerland	2000
Rolf Huser	45	197	Switzerland	2000
Marc Lotz	46	197	Netherlands	2000
Laurent Brochard	47	197	France	2000
Igor Pugaci	48	197	Moldova	2000
Markus Zberg	49	197	Switzerland	2000
Peter Van Petegem	50	200	Belgium	2000
NULL	51	500	NULL	2000
Sergio Barbero	52	500	Italy	2000
Zbigniew Piatek	53	500	Poland	2000
Alexandre Vinokourov	54	500	Kazakhstan	2000
Frederic Guesdon	55	500	France	2000
Daniel Schnider	56	500	Switzerland	2000
