name	result	time_in_seconds	nationality	year
Nicole Cooke	1	13331	Great Britain	2008
Marianne Vos	2	0	Netherlands	2008
Judith Arndt	3	0	Germany	2008
Emma Johansson	4	5	Sweden	2008
Trixi Worrack	5	11	Germany	2008
Diana Ziliute	6	107	Lithuania	2008
Marta Vilajosana	7	107	Spain	2008
Joanne Kiesanowski	8	107	New Zealand	2008
Alex Wrubleski	9	107	Canada	2008
Julia Martisova	10	107	Russia	2008
Claudia Lichtenberg	11	107	Germany	2008
Chantal Beltman	12	107	Netherlands	2008
Linda Villumsen	13	107	New Zealand	2008
Giorgia Bronzini	14	107	Italy	2008
Nikki Butterfield	15	107	Australia	2008
Grace Verbeke	16	107	Belgium	2008
Jeannie Longo	17	107	France	2008
Edita Pucinskaite	18	107	Lithuania	2008
Christiane Soeder	19	107	Austria	2008
Maryline Salvetat	20	107	France	2008
Kaytee Boyd	21	107	New Zealand	2008
Amber Neben	22	107	United States	2008
Ma?gorzata Jasinska	23	107	Poland	2008
Siobhan Dervan	24	107	Ireland	2008
Laura Lorenza Morfin	25	107	Mexico	2008
Monia Baccaille	26	107	Italy	2008
Rasa Polikeviciute	27	107	Lithuania	2008
NULL	28	107	NULL	2008
Tatiana Guderzo	29	107	Italy	2008
Susanne Ljungskog	31	107	Sweden	2008
Modesta Vzesniauskaite	32	107	Lithuania	2008
Natalia Boyarskaya	33	116	Russia	2008
Jolanta Polikeviciute	34	116	Lithuania	2008
Emma Pooley	35	116	Great Britain	2008
Anna Sanchis	36	116	Spain	2008
Noemi Cantele	37	119	Italy	2008
NULL	38	294	NULL	2008
Kristin Armstrong	39	296	United States	2008
Alexandra Burchenkova	40	324	Russia	2008
Elizabeth Deignan	41	324	Great Britain	2008
Rosane Kirch	42	368	Brazil	2008
Grete Treier	43	371	Estonia	2008
Maja Adamsen	44	371	Denmark	2008
Oxana Kozonchuk	45	371	Russia	2008
Clemilda Fernandes	46	371	Brazil	2008
Karine Gautard-Roussel	47	371	France	2008
Erinne Willock	48	371	Canada	2008
Lieselot Decroix	49	371	Belgium	2008
Sereina Trachsel	50	371	Switzerland	2008
Martina Ruzickova	51	371	Czech Republic	2008
Eneritz Iturriaga	52	371	Spain	2008
Vicki Whitelaw	53	371	Australia	2008
Edwige Pitel	54	371	France	2008
Paulina Brzezna	55	371	Poland	2008
Monika Grzebinoga	57	371	Poland	2008
Liesbet De Vocht	58	371	Belgium	2008
Daniela Pintarelli	59	371	Austria	2008
Julie Beveridge	60	371	Canada	2008
Jessica Allen	61	371	Great Britain	2008
Suzanne de Goede	62	371	Netherlands	2008
Oenone Wood	63	371	Australia	2008
Carla Ryan	64	371	Australia	2008
Tatiana Antoshina	65	371	Russia	2008
Patricia Schwager	66	371	Switzerland	2008
Kori Kelley-Seehafer	67	371	United States	2008
Monika Schachl	68	376	Austria	2008
Rosara Joseph	69	376	New Zealand	2008
Fabiana Luperini	70	376	Italy	2008
Charlotte Becker	71	376	Germany	2008
Luise Keller	72	376	Germany	2008
Oksana Kashchyshyna	73	562	Ukraine	2008
Veronica Leal	74	562	Mexico	2008
Sylwia Kapusta-Szyd?ak	75	734	Poland	2008
Anriette Schoeman	76	797	South Africa	2008
Sigrid Corneo	77	797	Slovenia	2008
Felicia Gomez	78	797	Canada	2008
Jennifer Hohl	79	797	Switzerland	2008
Elodie Touffet	80	797	French Polynesia	2008
Rasa Leleivyte	81	797	Lithuania	2008
Miho Oki	82	1070	Japan	2008
Ievgeniia Vysotska	83	1220	Ukraine	2008
Laure Werner	84	1322	Belgium	2008
Mirjam Hauser-Senn	85	1322	Switzerland	2008
Julie Krasniak	86	1671	France	2008
Chrissie VILJOEN	87	1719	South Africa	2008
Lynette Burger	88	1719	South Africa	2008
Magdalena Zamolska	89	1719	Poland	2008
Inga Cesuliene	90	1719	Lithuania	2008
Alona Andruk	91	1719	Ukraine	2008
Danielys del Valle Garcia	DNF	0	Venezuela	2008
Polona Batagelj	DNF	0	Slovenia	2008
Adriana Lovera	DNF	0	Venezuela	2008
Olivia Dillon	DNF	0	Ireland	2008
Yukiko Yamashita	DNF	0	Japan	2008
Angela Brodtka	DNF	0	Germany	2008
Kathryn Bertine	DNF	0	Saint Kitts en Nevis	2008
Jarmila Machacova	DNF	0	Czech Republic	2008
Christine Thornburn	DNF	0	United States	2008
Leticia Gil	DNF	0	Spain	2008
Anne Samplonius	DNF	0	Canada	2008
Heather Wilson	DNF	0	Ireland	2008
Anna Harkowska	DNF	0	Poland	2008
Alena Sitsko	DNF	0	Belarus	2008
Robyn De Groot	DNF	0	South Africa	2008
Maria Briceno Jimenez	DNF	0	Venezuela	2008
Rochelle Gilmore	DNF	0	Australia	2008
