name	result	time_in_seconds	nationality	year
Fabian Cancellara	1	3489	Switzerland	2010
David Millar	2	63	Great Britain	2010
Tony Martin	3	72	Germany	2010
Richie Porte	4	79	Australia	2010
Michael Rogers	5	145	Australia	2010
Koos Moerenhout	6	161	Netherlands	2010
Luis Leon Sanchez	7	164	Spain	2010
David Zabriskie	8	171	United States	2010
Maciej Bodnar	9	181	Poland	2010
Gustav Erik Larsson	10	181	Sweden	2010
Bert Grabsch	11	186	Germany	2010
Ignatas Konovalovas	12	187	Lithuania	2010
Vladimir Gusev	13	207	Russia	2010
Carlos Ivan Oyarzun	14	211	Chile	2010
Nicolas Vogondy	15	219	France	2010
Andrey Grivko	16	221	Ukraine	2010
Jose Ivan Gutierrez	17	223	Spain	2010
Alex Rasmussen	18	225	Denmark	2010
Sylvain Chavanel	19	240	France	2010
Janez Brajkovic	20	244	Slovenia	2010
Artem Ovechkin	21	247	Russia	2010
Dmitriy Fofonov	22	251	Kazakhstan	2010
Jack Bauer	23	258	New Zealand	2010
Tejay van Garderen	24	281	United States	2010
David McCann	25	293	Ireland	2010
Svein Tuft	26	300	Canada	2010
Martin Velits	27	300	Slovakia	2010
Raivis Belohvosciks	28	315	Latvia	2010
Matias Medici	29	318	Argentina	2010
Kanstantsin Siutsou	30	323	Belarus	2010
Michael Mørkøv	31	325	Denmark	2010
Peter Velits	32	326	Slovakia	2010
Tanel Kangert	33	330	Estonia	2010
Andrey Zeits	34	334	Kazakhstan	2010
Dominique Cornu	35	336	Belgium	2010
Jos van Emden	36	348	Netherlands	2010
Gordon McCauley	37	416	New Zealand	2010
Jay Robert Thomson	38	419	South Africa	2010
Jaros?aw Marycz	39	444	Poland	2010
Esad Hasanovic	40	543	Serbia	2010
Reginald Douglas	41	1388	Saint Kitts en Nevis	2010
James Weekes	42	1430	Saint Kitts en Nevis	2010
