name	result	time_in_seconds	nationality	year
Gianni Bugno	1	23668	Italy	1992
Laurent Jalabert	2	0	France	1992
Dmitri Konychev	3	0	Russia	1992
Tony Rominger	4	0	Switzerland	1992
Steven Rooks	5	0	Netherlands	1992
Miguel Indurain	6	0	Spain	1992
Piotr Ugrumov	7	0	Latvia	1992
Luc Leblanc	8	0	France	1992
Luc Roosen	9	0	Belgium	1992
Jean-Francois Bernard	10	0	France	1992
Jens Heppner	11	0	Germany	1992
Federico Echave	12	0	Spain	1992
Thierry Claveyrolat	13	0	France	1992
Udo Bolts	14	0	Germany	1992
Johan Bruyneel	15	0	Belgium	1992
Giancarlo Perini	16	0	Italy	1992
Gerard Rue	17	8	France	1992
Rolf Sørensen	18	110	Denmark	1992
Stephen Hodge	19	125	Australia	1992
Mike Engleman	20	125	United States	1992
Claudio Chiappucci	21	128	Italy	1992
Massimo Ghirotto	22	128	Italy	1992
Stephen Roche	23	128	Ireland	1992
Charly Mottet	24	128	France	1992
Harald Maier	25	252	Austria	1992
Leonardo Sierra	26	252	Venezuela	1992
Johnny Weltz	27	252	Denmark	1992
Ruber Alveiro Marin	28	252	Colombia	1992
Federico Munoz	29	252	Colombia	1992
Pedro Delgado	30	252	Spain	1992
Arsenio Gonzalez	31	252	Spain	1992
Alvaro Mejia	32	252	Colombia	1992
Jon Unzaga	33	252	Spain	1992
Jan Nevens	34	252	Belgium	1992
Jorge Leon Otalvaro	35	252	Colombia	1992
Ronan Pensec	36	252	France	1992
Jose Jaime Gonzalez	37	252	Colombia	1992
Alex Zulle	38	252	Switzerland	1992
Oliverio Rincon	39	252	Colombia	1992
Laurent Fignon	40	252	France	1992
Eric Boyer	41	252	France	1992
Marco Giovannetti	42	252	Italy	1992
Alberto Elli	43	252	Italy	1992
Beat Zberg	44	444	Switzerland	1992
Brian Smith	45	444	Great Britain	1992
Jean-Claude Colotti	46	444	France	1992
Christian Henn	47	444	Germany	1992
Kai Hundertmarck	48	444	Germany	1992
Manuel Cunha	49	444	Portugal	1992
Americo Jose Neves Da Silva	50	444	Portugal	1992
Neil Stephens	51	444	Australia	1992
Laurent Dufaux	52	444	Switzerland	1992
Thomas Wegmuller	53	444	Switzerland	1992
Marek Szerszynski	54	444	Poland	1992
Per Pedersen	55	444	Denmark	1992
Zbigniew Spruch	56	444	Poland	1992
Angel Yesid Camargo	57	444	Colombia	1992
Viktor Rjaksinski	58	444	Ukraine	1992
Bjarne Riis	59	444	Denmark	1992
Dominik Krieger	60	444	Germany	1992
Gilbert Duclos-Lassalle	61	444	France	1992
Martin Earley	62	444	Ireland	1992
Sean Kelly	63	444	Ireland	1992
Nestor Oswaldo Mora	64	444	Colombia	1992
Andrew Hampsten	65	444	United States	1992
Giorgio Furlan	66	444	Italy	1992
Davide Cassani	67	444	Italy	1992
Erik Breukink	68	444	Netherlands	1992
Franco Chioccioli	69	444	Italy	1992
Abelardo Rondon	70	444	Colombia	1992
Dag-Otto Lauritzen	71	613	Norway	1992
Miguel Arroyo	72	613	Mexico	1992
Alvaro Sierra	73	613	Colombia	1992
Francisco Javier Mauleon	74	613	Spain	1992
Viktor Klimov	75	620	Ukraine	1992
